,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,10,6,8,4,10,11,14,6,6,3,8,2,15,8,6,6
layer_1,17,1,4,8,12,3,2,1,3,2,4,7,5,3,3,2
layer_2,5,7,10,4,3,13,15,20,9,17,2,7,8,10,3,2
layer_3,3,5,3,4,3,9,3,3,3,3,3,3,3,3,3,3
layer_4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
layer_5,9,3,8,3,3,3,4,3,4,3,3,3,3,3,3,3
layer_6,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
layer_7,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3
layer_8,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3
layer_9,3,3,6,3,3,13,3,3,3,3,4,3,3,3,3,3
layer_10,3,3,3,3,2,3,3,3,3,3,3,4,3,3,3,2
layer_11,3,3,3,3,7,3,3,3,3,3,3,3,5,3,3,5
layer_12,3,3,3,3,3,3,3,4,3,3,3,3,9,5,3,3
layer_13,4,3,3,3,3,3,3,3,3,3,3,3,3,3,10,3
layer_14,3,3,3,3,3,3,3,3,4,7,3,3,3,3,3,3
layer_15,3,3,3,3,3,3,3,3,3,3,3,3,3,10,3,3
layer_16,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
layer_17,3,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3
layer_18,3,3,3,3,3,3,3,3,3,5,3,4,3,3,3,3
layer_19,9,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
layer_20,3,3,3,4,2,3,3,3,3,3,2,3,3,4,5,4
layer_21,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
layer_22,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
layer_23,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
layer_24,3,3,14,3,3,3,3,3,4,3,3,3,3,3,3,3
layer_25,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
layer_26,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
layer_27,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3
