,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,12,0,13,0,0,0,18,11,13,14,11,13
layer_1,5,12,14,11,13,12,12,13,12,11,6,0
layer_2,13,11,1,6,6,15,12,6,14,15,14,11
layer_3,11,11,3,3,11,11,4,14,13,11,11,7
layer_4,9,11,11,9,11,11,11,3,11,11,11,2
layer_5,11,11,10,11,11,11,11,11,11,11,11,11
layer_6,11,11,11,11,11,11,11,11,4,11,11,11
layer_7,16,11,11,11,11,11,11,11,11,11,11,11
layer_8,11,11,11,11,11,11,13,12,11,11,11,11
layer_9,11,11,11,11,11,11,11,11,11,11,11,11
layer_10,11,11,11,11,11,11,11,11,11,11,11,11
layer_11,11,11,11,11,11,11,11,11,9,11,11,11
