,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,39.663883,39.308537,17.227476,28.03957,40.70214,42.491295,39.998474,42.31755,47.87885,37.753136,14.701607,44.443645
layer_1,18.637793,5.0568433,18.844162,10.013372,3.1473117,15.275898,1.5321684,28.045511,23.781311,20.284266,24.966948,17.182594
layer_2,6.65494,13.933123,8.529215,17.49355,22.811317,14.4630375,9.547651,23.570972,10.03531,6.6495037,13.976676,15.730421
layer_3,3.2313137,17.970022,17.524282,10.759728,20.520689,4.525441,8.284472,12.487986,21.937847,4.4868803,19.354116,31.114359
layer_4,20.58087,27.270975,2.5316694,1.9289589,23.580984,8.998136,24.723364,7.6891418,9.504417,29.598349,17.003538,5.5777245
layer_5,8.152816,4.7483125,7.529747,11.675763,23.03896,5.765605,6.5495105,0.99635476,6.0208607,6.393522,14.337732,4.1876516
layer_6,3.6395402,5.0367527,13.771567,3.784255,18.311556,7.609495,4.8558373,9.100706,7.293643,21.54573,10.205649,6.3979564
layer_7,30.519087,2.9488451,6.9562607,1.1420915,6.7880096,19.843887,1.244466,1.0174942,7.208771,17.948612,12.609868,2.3078911
layer_8,2.5859656,11.507467,4.0430517,11.628796,3.6042876,2.6229093,5.0115247,12.800529,13.502071,16.060259,9.345669,21.74919
layer_9,6.510411,5.902176,9.612094,11.993546,2.1264536,16.768524,9.348288,13.091395,16.332201,11.154895,8.424915,16.72246
layer_10,17.05735,5.1239476,15.665435,12.337352,14.137546,5.4207864,6.4004207,5.473491,11.265444,8.911197,15.200163,10.416325
layer_11,4.6368027,10.668819,24.736069,6.9298797,11.272716,16.13632,10.643819,6.0432816,30.795128,19.321959,6.085187,5.184452
