,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,264,64,202,143,299,58,132,1,163,4,80,85
layer_1,223,3,18,2,0,6,11,1,1,3,77,1
layer_2,0,0,6,0,0,0,3,23,0,6,9,0
layer_3,54,8,147,0,0,0,0,1,0,0,0,0
layer_4,1,0,6,0,2,0,3,0,1,0,2,0
layer_5,0,0,10,1,0,0,15,0,0,0,35,70
layer_6,5,287,0,0,0,0,1,2,26,0,2,0
layer_7,6,0,0,0,3,0,0,9,11,405,3,83
layer_8,7,150,58,9,54,2,0,0,45,294,0,0
layer_9,0,0,0,3,0,0,0,0,36,35,2,0
layer_10,55,0,18,121,0,25,17,37,0,3,0,5
layer_11,334,186,0,47,89,298,0,69,105,128,186,277
