,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,40,0,192,3,0,0,4,38,192,4,133,17
layer_1,167,173,5,0,4,157,0,102,2,255,0,0
layer_2,33,17,4,28,0,0,251,0,0,7,28,3
layer_3,0,0,0,0,10,0,0,19,39,4,1,8
layer_4,23,11,3,0,0,0,0,0,32,3,0,0
layer_5,4,4,0,1,0,0,0,258,0,0,0,0
layer_6,0,50,56,215,0,0,14,0,146,0,1,3
layer_7,2,3,0,6,0,17,0,4,17,0,0,32
layer_8,31,12,8,1,0,2,166,12,7,0,2,2
layer_9,0,1,2,237,0,0,1,0,89,23,0,0
layer_10,10,0,1,0,13,85,3,10,0,60,0,0
layer_11,179,172,0,0,132,10,0,1,0,4,43,262
