,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,726.0,730.0,640.0,741.0,438.0,776.0,912.0,514.0,413.0,407.0,90.0,861.0,326.0,682.0,17.0,465.0
layer_1,181.0,759.0,619.0,190.0,477.0,475.0,451.0,566.0,297.0,428.0,258.0,191.0,326.0,272.0,147.0,231.0
layer_2,670.0,767.0,545.0,475.0,249.0,200.0,91.0,826.0,348.0,62.0,194.0,272.0,138.0,174.0,96.0,222.0
layer_3,948.0,209.0,1241.0,378.0,475.0,360.0,154.0,474.0,441.0,52.0,279.0,65.0,223.0,290.0,159.0,55.0
layer_4,728.0,1508.0,240.0,429.0,357.0,1313.0,797.0,310.0,212.0,70.0,505.0,134.0,187.0,132.0,206.0,112.0
layer_5,772.0,1109.0,1147.0,544.0,383.0,925.0,173.0,205.0,296.0,310.0,238.0,169.0,184.0,168.0,153.0,155.0
layer_6,1063.0,848.0,640.0,1389.0,344.0,164.0,864.0,340.0,194.0,160.0,154.0,174.0,152.0,153.0,157.0,152.0
layer_7,742.0,1185.0,164.0,551.0,68.0,863.0,839.0,575.0,239.0,356.0,241.0,165.0,167.0,153.0,153.0,161.0
layer_8,894.0,218.0,1250.0,1350.0,364.0,672.0,171.0,241.0,256.0,167.0,172.0,152.0,153.0,153.0,154.0,152.0
layer_9,1190.0,706.0,132.0,517.0,363.0,181.0,483.0,165.0,155.0,153.0,153.0,153.0,154.0,152.0,152.0,153.0
layer_10,1413.0,759.0,303.0,996.0,554.0,232.0,744.0,184.0,152.0,153.0,153.0,159.0,153.0,153.0,154.0,153.0
layer_11,709.0,525.0,335.0,397.0,168.0,345.0,158.0,225.0,184.0,157.0,161.0,153.0,153.0,154.0,153.0,153.0
layer_12,1038.0,869.0,602.0,590.0,391.0,212.0,277.0,316.0,162.0,193.0,157.0,160.0,153.0,153.0,153.0,153.0
layer_13,704.0,839.0,662.0,361.0,286.0,182.0,156.0,189.0,234.0,159.0,207.0,153.0,153.0,154.0,153.0,153.0
layer_14,860.0,637.0,181.0,342.0,308.0,320.0,175.0,155.0,264.0,175.0,155.0,153.0,164.0,153.0,153.0,157.0
layer_15,546.0,1219.0,582.0,251.0,218.0,161.0,491.0,183.0,178.0,161.0,172.0,152.0,153.0,161.0,153.0,159.0
layer_16,1263.0,781.0,163.0,401.0,185.0,288.0,160.0,165.0,155.0,153.0,153.0,153.0,153.0,167.0,153.0,153.0
layer_17,672.0,991.0,479.0,872.0,233.0,171.0,321.0,368.0,157.0,171.0,158.0,153.0,152.0,154.0,153.0,155.0
layer_18,1000.0,343.0,486.0,367.0,331.0,215.0,154.0,157.0,185.0,157.0,157.0,153.0,153.0,156.0,157.0,153.0
layer_19,791.0,828.0,312.0,444.0,188.0,274.0,543.0,169.0,163.0,180.0,157.0,154.0,156.0,153.0,148.0,155.0
layer_20,806.0,1030.0,286.0,158.0,257.0,247.0,193.0,388.0,231.0,153.0,160.0,153.0,153.0,153.0,153.0,153.0
layer_21,1063.0,494.0,517.0,990.0,189.0,389.0,691.0,161.0,241.0,154.0,152.0,153.0,153.0,153.0,280.0,153.0
layer_22,1041.0,614.0,901.0,166.0,1100.0,656.0,741.0,457.0,162.0,166.0,153.0,153.0,67.0,152.0,152.0,174.0
layer_23,1399.0,991.0,278.0,1225.0,238.0,1198.0,244.0,642.0,273.0,203.0,156.0,166.0,148.0,169.0,204.0,223.0
