,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,1124.0,629.0,287.0,1979.0,1134.0,99.0,524.0,317.0,823.0,283.0,1718.0,658.0
layer_1,798.0,43.0,132.0,425.0,0.0,52.0,6.0,3.0,130.0,10.0,12.0,0.0
layer_2,0.0,0.0,41.0,0.0,0.0,0.0,0.0,1929.0,0.0,9.0,63.0,2.0
layer_3,195.0,25.0,229.0,2.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0
layer_4,0.0,8.0,262.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_5,0.0,0.0,32.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,291.0,2.0
layer_6,1.0,2206.0,21.0,0.0,0.0,0.0,7.0,2.0,14.0,0.0,42.0,0.0
layer_7,19.0,1.0,118.0,0.0,9.0,3.0,1.0,78.0,0.0,2081.0,10.0,136.0
layer_8,114.0,13.0,921.0,133.0,117.0,3.0,0.0,0.0,881.0,508.0,9.0,36.0
layer_9,0.0,1.0,182.0,25.0,0.0,0.0,31.0,0.0,54.0,119.0,25.0,0.0
layer_10,75.0,0.0,221.0,867.0,1.0,15.0,1688.0,58.0,6.0,0.0,0.0,21.0
layer_11,1755.0,873.0,1.0,86.0,619.0,1429.0,37.0,1216.0,673.0,758.0,972.0,1204.0
