,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,1,4,87,1,0,0,26,29,19,24,69,12,0,11,169,0
layer_1,0,0,0,0,0,1,2,11,1,0,0,0,0,0,0,0
layer_2,3,1,6,0,1,8,24,0,4,0,0,0,46,21,0,0
layer_3,1,1,0,0,14,75,0,0,0,2,0,54,0,10,127,0
layer_4,106,0,3,0,0,0,0,5,2,1,1,10,0,2,4,0
layer_5,0,39,0,7,158,9,1,0,0,0,0,0,0,0,80,0
layer_6,1,0,0,1,15,166,13,0,0,1,1,31,1,0,18,133
layer_7,0,1,0,10,9,8,0,24,3,4,0,0,0,2,0,5
layer_8,51,0,0,3,0,0,0,0,6,0,1,2,0,0,0,0
layer_9,22,9,0,0,15,0,16,3,0,0,0,72,5,12,0,1
layer_10,0,0,66,5,143,263,0,3,4,1,59,7,7,0,0,0
layer_11,3,0,0,208,159,0,49,30,40,13,5,0,0,53,1,0
layer_12,3,0,29,90,80,27,11,0,0,2,0,0,144,2,0,0
layer_13,1,5,40,1,0,0,0,0,7,0,5,5,1,0,79,4
layer_14,7,15,3,0,75,0,1,9,18,0,18,73,0,9,0,68
layer_15,27,47,0,0,24,21,200,163,13,12,0,9,101,2,117,0
layer_16,145,3,1,59,8,13,0,13,3,120,20,11,0,0,7,0
layer_17,1,5,28,24,0,2,34,3,0,0,5,0,8,0,12,23
layer_18,2,2,10,15,1,1,8,49,1,24,4,80,45,0,17,22
layer_19,7,32,15,20,22,82,26,70,3,1,0,0,0,111,14,9
layer_20,72,198,38,17,3,1,8,8,23,2,1,4,13,15,12,45
layer_21,48,0,4,7,6,12,1,14,21,0,36,11,14,9,10,120
layer_22,1,39,81,90,0,5,31,1,0,240,11,26,17,25,110,72
layer_23,0,8,1,2,57,2,36,60,0,7,14,27,12,12,17,4
layer_24,0,1,120,55,21,62,24,93,0,1,0,0,0,0,25,77
layer_25,0,5,1,28,97,67,3,17,13,46,1,0,0,0,4,1
layer_26,9,0,4,23,4,4,106,6,0,85,6,4,0,8,2,24
layer_27,19,0,95,13,9,0,10,48,0,2,0,0,4,0,1,27
layer_28,4,1,0,0,3,0,0,14,0,0,0,0,0,0,0,0
layer_29,0,0,0,0,0,17,3,2,0,1,2,9,9,0,0,1
layer_30,0,0,0,0,1,0,5,0,0,0,2,1,0,0,2,1
layer_31,4,0,4,21,3,12,0,0,2,0,13,0,0,0,0,0
layer_32,1,0,0,1,0,0,0,0,10,1,1,2,0,0,0,0
layer_33,0,0,0,0,2,0,0,3,1,0,0,0,0,1,0,0
layer_34,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
layer_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_36,0,0,7,0,0,0,0,0,0,0,1,0,0,0,1,0
layer_37,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0
layer_38,0,2,0,0,0,1,0,1,0,5,1,0,0,0,0,0
layer_39,2,0,2,1,0,0,0,2,0,0,0,1,0,3,0,0
layer_40,0,0,1,3,0,0,2,0,0,0,1,0,0,1,0,0
layer_41,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
