,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,19,0,24,0,3,0,22,15,18,19,12,16
layer_1,22,21,13,26,24,26,28,27,26,26,3,0
layer_2,16,24,15,30,30,7,23,8,26,19,13,26
layer_3,26,26,25,20,26,26,22,14,15,32,24,29
layer_4,27,33,26,20,26,28,25,4,26,26,26,17
layer_5,26,26,16,41,20,26,26,27,26,26,26,26
layer_6,23,28,26,26,26,26,26,26,6,26,24,26
layer_7,27,26,26,26,27,26,26,26,28,26,26,26
layer_8,26,26,26,26,27,28,27,19,26,26,26,26
layer_9,28,26,26,25,26,26,26,26,24,26,26,26
layer_10,26,26,26,27,27,24,26,28,26,24,26,25
layer_11,22,26,26,25,26,26,26,26,12,26,26,27
