,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,11,3,28,6,5,0,4,16,9,2,19,0
layer_1,1,9,19,2,13,5,7,0,1,13,11,0
layer_2,1,0,21,1,0,5,0,3,2,11,0,0
layer_3,18,0,1,13,11,0,4,1,1,10,1,2
layer_4,10,15,2,18,14,5,10,13,14,9,13,10
layer_5,0,0,0,0,0,2,0,0,1,0,2,5
layer_6,0,3,2,10,3,2,0,0,3,18,2,0
layer_7,6,0,0,7,1,3,0,0,0,0,0,0
layer_8,1,3,0,0,16,13,1,2,15,0,10,6
layer_9,0,7,0,0,1,10,0,5,26,1,0,7
layer_10,3,1,25,12,10,12,1,1,11,10,1,20
layer_11,31,22,21,4,10,10,24,2,32,0,25,21
