,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,5.6204395,79.95161,2.2234716,4.9786525,4.2737684,4.7323194,20.74797,20.330805,20.94119,0.5737303,0.23592836,0.7313463,1.0463804,12.771114,10.085657,48.764412,10.411216,9.256819,10.677439,47.655018,9.705078,0.85740566,4.222441e-05,0.001224664
layer_1,27.168344,39.388805,2.4744287,1.8184904,10.712513,5.5222735,10.373962,1.4367617,6.9718966,14.087103,1.9803658,4.8304596,17.60123,10.929903,11.950205,29.00625,34.18688,0.33532572,0.92430234,2.559836,1.8000994,4.8998404,5.131272,6.5348563
layer_2,5.3091793,2.7287683,2.7679632,8.207996,2.4550776,22.12813,2.3703353,3.566219,3.307693,32.599194,6.5103006,0.9478987,11.4137535,6.4965253,7.029823,0.9376054,1.0252863,0.6774291,6.8444667,2.8769114,8.347856,6.8141074,12.217943,15.425157
layer_3,6.2970023,3.3592963,5.88586,2.4472969,3.544291,2.5537622,26.61618,18.877672,7.3238025,3.0716617,1.3894392,3.0610938,20.665842,7.027083,3.3376665,6.8141637,7.130824,4.077013,2.3607376,10.640176,1.2213311,9.328701,6.983077,4.675798
layer_4,7.135048,5.27492,2.0118418,11.443076,8.797777,7.6426454,10.848598,20.338137,6.6770077,19.403233,9.758713,6.659034,43.206097,12.139115,0.123793766,10.294563,1.3095114,6.160901,30.896824,9.775191,6.6558228,1.417253,1.303041,7.0247927
layer_5,2.8837028,14.026999,63.27425,4.724967,14.319552,4.3553104,0.33122748,0.2500365,5.580923,27.176025,16.753328,7.5096283,22.58117,39.04522,11.144147,3.2716053,9.729711,11.314455,9.067381,20.880749,11.240052,30.940557,14.968111,12.383748
layer_6,9.459759,1.9353802,3.7623415,9.864534,13.037598,13.547376,35.83575,54.86534,17.762577,15.193403,12.482441,31.835356,40.4405,19.78079,60.670242,22.434023,10.889601,7.155458,1.816759,0.55550253,11.833333,27.033628,2.090395,14.876159
layer_7,24.929884,41.899155,3.655052,15.774281,8.317611,7.283218,21.979935,23.704346,13.1661215,42.999268,8.301866,20.458944,19.738285,26.013577,19.4725,31.044048,27.738707,11.779923,9.272518,22.69863,27.17629,12.131352,16.578941,17.643076
layer_8,5.826098,21.009192,6.323145,23.556412,8.638997,24.405457,0.7934438,7.4755034,0.279209,18.439953,19.025055,26.407804,14.4870825,21.442724,11.546524,41.98133,47.18911,6.123715,9.65988,15.387187,15.807477,10.040254,12.001855,10.1812105
layer_9,20.787191,14.478585,29.094475,4.0399656,7.837349,3.5113611,61.502743,58.42072,28.78252,6.5351,6.7003813,5.7477126,23.59877,10.086024,23.076477,10.525799,18.472517,16.69382,12.30419,9.891437,5.1183944,12.009807,21.36839,4.242131
layer_10,48.052814,18.289864,20.691545,4.9809036,2.4582472,3.8648002,29.823982,19.05032,27.258253,9.86268,13.624138,1.9690379,67.7986,63.920486,52.870842,13.755208,13.999252,16.893496,26.875853,25.06201,24.282566,1.2820185,4.3901234,14.050128
layer_11,46.445168,9.018769,20.227716,16.087654,14.243664,15.793824,13.72654,18.548529,17.884855,16.254679,16.551702,36.518196,25.872667,52.961346,27.578953,8.448112,41.49998,7.7470865,21.952236,27.38444,20.143946,29.687786,25.829473,25.162195
layer_12,9.30427,5.7973547,12.617144,1.9353212,3.2540781,16.24235,16.419258,12.587225,13.104423,9.387071,12.9197035,15.091344,19.619228,4.310554,24.960726,7.300523,6.2730813,42.25034,9.84637,3.5024817,5.7416806,3.4212182,17.975174,38.879986
layer_13,13.952345,15.276695,10.788396,11.416958,12.266281,16.31161,56.570854,39.924835,54.882217,12.256418,15.632118,28.771765,6.181932,0.9385893,0.2984754,17.639872,4.2024903,8.551942,17.684381,20.234627,13.784207,7.186427,3.1411002,3.997143
layer_14,14.385737,3.7308204,0.3890697,31.759785,27.24692,50.413948,40.725254,20.14858,26.138023,11.835559,15.751406,5.331176,6.30173,4.259769,3.3370118,14.635476,13.921347,11.679069,15.513803,19.41465,22.233809,8.801826,4.031394,26.946686
layer_15,5.380186,3.9255872,21.30821,24.119692,23.635782,10.269264,5.4792376,4.246245,37.20252,24.473988,29.280466,24.27744,1.5553231,0.5053717,24.346722,17.731691,7.558008,4.8215,1.8511299,2.1323857,3.2793791,8.097046,5.9155154,10.7058525
layer_16,1.914534,15.253776,1.4695731,0.78284305,2.5128028,1.8521498,9.189674,7.4306755,15.113423,11.018732,2.0902863,13.188513,0.83754194,1.7686754,4.58079,2.9208016,2.3831902,2.081133,14.591457,19.497414,14.589002,9.310267,3.9148026,3.5433197
layer_17,4.0700603,1.7159088,7.8902864,0.7801959,2.0076914,13.445863,23.501507,10.492552,12.654221,1.3158243,2.054819,1.761963,1.0325891,5.2399855,3.1773694,9.216435,2.3501034,6.129687,5.0104856,3.9303305,2.2936454,1.2743193,6.0543957,4.2338486
layer_18,11.953455,2.482807,1.0841901,3.4681385,1.3975316,3.813718,17.336693,11.010106,7.6347504,7.858768,4.110844,4.8418884,0.73304474,1.3946881,2.103447,1.6753567,5.275351,18.186218,1.3873053,2.109325,4.3139915,17.758236,3.2194152,7.9026284
layer_19,1.240352,9.396838,13.319914,23.90493,19.784044,26.887596,16.373402,20.378994,3.8226051,8.7676325,4.2046146,9.3444195,2.7099686,12.542126,2.130693,5.1318493,1.3151762,4.3569136,2.6520085,8.75126,3.0776858,0.47840393,0.73823965,0.7140964
layer_20,4.110273,1.7414765,1.7495933,1.5176747,1.5552268,1.4358469,3.841432,5.0037327,2.8576725,0.86325,0.8053433,1.29138,16.71958,9.825419,1.6701362,1.9117438,1.7520052,1.1673337,1.9505614,8.123252,4.515096,10.357633,4.413117,9.269521
layer_21,6.7829766,1.5015994,3.4651172,0.5451964,0.39379817,0.6920867,1.5085735,1.256461,1.9714826,10.18161,4.1230564,16.05418,0.5163446,0.6069615,1.1871227,0.9939065,1.4814386,0.72931373,5.0496783,1.2404908,2.7745616,4.0266104,4.3745556,9.419701
layer_22,0.92808247,7.3892922,0.9052916,0.44617245,0.96354073,0.55534405,1.5462209,1.2336892,0.8967053,0.5772631,0.35024717,0.44924253,3.8028662,2.2797344,15.745277,2.887624,18.426008,6.869764,1.0822314,0.9021602,1.2025491,4.9771767,1.721671,2.563137
layer_23,2.6107163,3.8512838,3.8912234,2.095961,4.563183,5.442794,3.661998,3.7905128,8.447387,0.9637863,2.0578945,0.5399904,0.5104455,1.6847298,6.883479,6.12934,4.3900023,9.664579,0.71848255,1.0453167,6.3096724,1.8179965,1.4126122,7.880759
layer_24,0.9046968,1.2700177,1.4451188,1.6562078,1.2377799,2.5339377,8.137647,2.146122,10.537083,6.073037,13.201044,2.4703777,7.95454,0.6232133,0.8420574,1.9601705,2.7610583,2.1614957,1.6735253,1.5034639,1.2847632,2.630765,4.2691264,2.092536
layer_25,1.5050538,3.771291,0.53170204,3.9637618,2.4005325,0.5102075,7.177596,4.906226,10.390798,0.6336439,0.6458571,0.42334667,1.7337713,1.9929475,2.005278,3.0444024,2.141541,2.409912,16.881485,1.3948827,15.648933,3.8816838,2.7686589,9.233579
layer_26,4.652801,8.333026,7.6763854,2.8524773,4.0955596,1.637476,6.6471963,8.768454,2.56125,1.1680373,2.6463978,1.684567,10.174147,16.31984,21.76796,5.532293,3.816116,12.8886,7.258694,7.142032,10.045762,1.0167162,1.3659009,3.411998
layer_27,9.037645,6.5870414,5.714871,3.1778312,21.097178,15.637619,1.3905978,5.2496433,5.596497,19.93524,3.7694504,1.7158457,5.318695,4.2137146,2.9586167,1.12862,1.4821966,3.6532228,6.7275805,22.906782,2.605018,18.084799,4.2887297,2.6004379
