,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,7.281943,5.363057,10.533875,1.4370344,6.6956997,3.9822245,5.4495325,1.7062941,3.2384877,5.078293,7.325282,1.0827469
layer_1,3.0231931,5.62099,1.9055275,2.6867704,2.0056221,4.632875,3.107325,3.0849874,3.6000268,3.9011247,5.632365,2.194775
layer_2,1.3619014,2.7701862,1.8819107,2.5108707,2.534973,1.1915184,2.5559254,2.1766229,2.0340068,1.0217596,1.5393016,1.3364111
layer_3,4.0098896,2.0828717,2.8026361,1.8933825,4.661527,0.9821185,2.797639,2.8086665,2.9098594,1.3583231,1.5080656,3.9383135
layer_4,2.56969,5.874517,4.388953,3.4247887,5.015333,5.546311,2.0560775,2.994851,6.5419846,2.099839,8.882177,2.616293
layer_5,0.13421683,3.6988714,1.381809,1.3832619,6.8978305,0.6869401,1.7840858,1.3941686,3.0427637,3.1389146,8.844682,7.673717
layer_6,1.9960059,5.9843364,6.7085595,8.466691,5.4206285,0.41200873,0.49331537,2.9031167,9.000225,1.9006913,1.499978,5.90084
layer_7,8.36677,7.1582813,4.877791,17.823555,8.471314,10.603302,5.070732,0.5808172,2.954196,6.939249,0.7096633,6.272912
layer_8,0.29061225,7.946132,2.806829,2.3709364,14.424771,5.4701867,2.5435803,5.9871607,7.774476,6.2569256,10.324641,25.061697
layer_9,2.2580876,13.26083,2.2436173,3.4759943,5.804341,16.719048,9.335603,5.1104894,12.2530155,2.5842125,0.6587232,23.191315
layer_10,12.095509,3.8598502,12.890839,10.223185,6.208561,1.3430115,4.7710876,8.4798565,2.0674775,10.206635,3.7523174,16.769987
layer_11,6.527393,0.34761846,0.85329044,3.455259,1.2738394,3.1406758,2.4189987,2.3011367,11.447536,0.7783195,12.233695,4.198071
