,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,85,84,86,77,75,66,47,60,53,49,68,42,61,51,49,48
layer_1,95,101,90,91,83,75,82,56,64,65,62,71,59,50,67,61
layer_2,87,94,91,80,88,79,102,49,68,56,62,50,70,66,57,59
layer_3,95,88,75,75,80,54,81,69,64,73,65,68,66,58,60,51
layer_4,102,81,82,87,77,69,67,70,64,74,70,67,56,58,51,59
layer_5,88,94,76,68,54,68,54,52,57,52,52,53,55,52,52,52
layer_6,82,72,71,75,58,52,75,48,58,52,52,53,54,52,52,52
layer_7,101,77,58,69,53,99,59,54,60,55,61,58,52,52,52,52
layer_8,102,67,71,65,60,49,54,57,52,55,54,53,52,52,52,52
layer_9,97,74,68,61,61,56,63,52,52,53,52,52,57,53,52,52
layer_10,77,85,64,63,66,52,59,56,52,54,52,52,53,52,52,52
layer_11,83,80,64,56,51,62,53,51,52,52,52,52,52,52,52,52
layer_12,84,90,57,69,61,55,53,55,52,53,53,52,52,52,53,52
layer_13,77,80,55,70,54,53,52,54,54,52,54,52,52,52,52,52
layer_14,72,67,60,61,55,62,54,53,55,53,52,52,51,52,52,55
layer_15,81,87,62,60,55,52,55,56,52,52,56,58,52,50,52,52
layer_16,89,85,55,57,55,54,52,52,52,54,52,52,52,52,52,52
layer_17,86,78,59,57,58,54,55,64,52,52,52,53,52,53,52,52
layer_18,81,82,60,60,54,57,53,55,53,53,52,52,52,52,58,52
layer_19,79,63,71,56,52,67,55,52,53,52,52,53,52,52,52,53
layer_20,91,80,63,57,58,57,57,52,54,52,53,52,53,53,53,52
layer_21,80,86,60,58,55,58,63,53,52,52,53,52,52,52,64,57
layer_22,90,87,83,65,86,58,59,70,56,54,52,52,69,52,52,53
layer_23,91,89,82,74,73,71,82,64,65,63,67,61,54,48,55,56
