,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,46,40,38,36,25,20,24,16,13,19,4,24,21,14,7,16
layer_1,21,58,41,30,33,33,19,20,26,19,13,17,12,22,23,21
layer_2,39,41,32,34,38,23,33,14,24,12,20,21,26,16,20,16
layer_3,62,28,40,45,27,15,23,15,24,20,20,8,24,12,20,11
layer_4,56,26,14,34,25,29,37,20,13,13,18,17,12,20,15,19
layer_5,40,39,30,25,22,14,14,14,17,14,14,14,14,14,14,14
layer_6,34,51,31,27,21,9,20,14,14,14,14,14,14,14,14,14
layer_7,53,24,20,22,13,39,21,14,21,16,15,21,14,14,14,14
layer_8,60,7,35,35,16,18,14,13,14,14,15,14,14,14,14,14
layer_9,55,23,12,28,22,21,21,14,15,14,14,14,14,14,14,14
layer_10,19,52,16,18,22,15,14,14,14,14,14,14,14,14,14,14
layer_11,34,24,16,21,14,18,14,15,14,14,14,14,14,14,14,14
layer_12,29,36,23,21,22,16,14,17,14,14,14,14,14,14,14,14
layer_13,42,34,23,21,15,17,14,14,15,14,14,14,14,14,14,14
layer_14,23,30,15,17,14,14,14,14,17,14,14,14,15,14,14,14
layer_15,51,41,20,20,15,14,18,14,14,14,13,14,14,14,14,14
layer_16,53,20,14,20,15,19,14,14,14,14,14,14,14,14,14,14
layer_17,36,23,23,22,19,15,16,23,14,15,14,14,14,14,14,14
layer_18,39,25,29,18,19,15,14,15,14,14,14,14,14,14,14,14
layer_19,26,31,33,22,14,17,28,14,14,14,14,14,14,14,14,14
layer_20,37,31,21,15,17,16,16,17,15,14,15,14,14,14,14,14
layer_21,24,46,21,23,17,16,17,14,17,14,13,14,14,14,16,12
layer_22,31,24,25,14,33,25,27,21,14,14,14,14,27,14,14,14
layer_23,36,34,31,32,18,30,16,24,7,18,18,24,13,16,15,15
