,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23
layer_0,195.8119,616.14996,138.46167,94.62703,95.279594,113.93091,198.41837,297.89935,286.30338,44.82618,43.48507,54.88359,81.91402,209.24866,171.88853,626.3313,135.52579,337.06668,209.12279,371.85522,186.7033,109.79358,0.1344265,0.18794727
layer_1,224.98183,288.83102,46.772575,53.385513,90.438286,53.665268,208.01099,36.40509,217.6144,169.0179,33.60527,52.878613,168.12083,118.34779,78.07222,263.38776,316.19553,16.024582,20.00118,43.908684,28.44255,218.37178,113.24745,48.574505
layer_2,101.685455,32.88793,57.263935,144.13147,39.642605,206.03146,33.732582,66.93428,58.500988,46.72653,29.149605,10.5417,72.47648,90.05053,120.44266,14.430883,4.990604,13.385697,110.409065,31.656382,64.72134,150.76688,56.355255,214.06128
layer_3,112.0704,102.451324,258.35022,39.926304,51.164345,44.970913,195.09172,214.54297,118.02756,120.004074,47.94777,147.8495,140.34096,88.14187,49.817112,102.79636,204.22025,41.462017,167.68411,95.527565,26.887873,375.89807,173.79178,328.3663
layer_4,93.990036,116.48106,60.99689,301.82278,110.765686,266.48883,180.85246,291.3453,52.60127,162.79851,205.86751,146.09262,308.75818,162.89604,9.188132,99.6067,51.856552,213.80159,322.7236,191.69287,97.26921,23.036247,31.671143,182.82806
layer_5,65.95107,231.07004,224.18587,72.237015,86.77513,55.829235,3.1655083,0.95639277,33.944202,278.3846,238.84326,253.75174,303.4985,303.61285,104.62416,58.917805,122.16744,63.06551,124.81845,221.90936,191.94443,262.87384,261.54123,278.6364
layer_6,195.44481,28.396309,62.54976,128.63437,126.24024,293.0371,242.70636,353.75458,265.92184,397.80228,148.6817,371.02783,316.3393,123.02633,352.53708,280.4048,177.4425,239.8115,51.936382,30.270548,219.08983,40.432526,230.1974,415.80908
layer_7,259.755,486.5111,48.593555,233.00894,116.62305,105.32523,292.7828,290.58386,459.52463,411.86508,180.14996,178.66243,176.7228,367.6621,265.52896,302.0795,299.325,138.60251,140.96346,117.24028,92.69016,269.12015,266.7239,247.7076
layer_8,68.10076,129.33064,21.406788,296.58902,232.77586,375.84067,20.234123,76.250275,15.834565,239.08327,122.837555,359.6464,218.52078,277.34216,296.1278,480.6601,348.19693,138.56567,198.39577,159.07117,189.53328,171.70302,271.60645,193.30482
layer_9,264.6997,273.26474,261.42563,76.230736,175.01918,70.880936,517.87915,589.8919,313.1507,113.48928,119.12515,108.44359,220.96405,142.8646,252.25375,128.48016,213.6391,182.63516,280.29843,30.43395,203.51031,144.50188,228.48555,132.24179
layer_10,328.77618,222.11255,236.83102,45.74534,80.423935,53.20377,154.01051,316.88394,221.30356,124.15521,186.06407,42.545135,619.0889,493.89523,551.53296,139.52092,176.42654,197.75105,255.39359,264.42395,253.09448,18.819536,117.429054,108.513245
layer_11,358.4137,149.49924,264.7114,251.29953,181.13037,178.74721,200.09456,216.5573,279.63162,289.50095,230.41026,339.59964,305.19284,420.48846,260.6048,142.20712,356.63852,159.15776,426.82025,434.2039,303.95822,259.7951,306.2413,321.71494
layer_12,202.15388,187.23047,211.86282,42.983597,48.160374,226.60619,233.95198,272.7701,190.79424,173.8355,201.83182,207.14793,221.43468,119.95589,209.01529,94.7256,134.91698,353.71106,159.79335,37.754112,43.66088,109.5668,269.7229,413.64163
layer_13,191.38101,207.51703,158.04875,119.39334,231.64307,217.76784,540.8633,470.42776,519.13306,259.04224,245.11256,250.05612,89.465164,9.941039,23.03241,229.6516,59.097366,131.35793,230.5104,301.8484,194.41945,129.39633,95.00528,115.11948
layer_14,386.4697,12.540427,8.337427,399.2996,328.36823,493.25485,375.77298,292.76636,264.60257,274.02878,92.9783,103.6972,77.56273,92.95255,69.14975,212.18553,157.4211,229.7829,202.07237,247.22011,250.04326,62.510662,16.930643,336.49353
layer_15,87.166046,81.879364,240.27872,335.68323,248.36548,163.76505,91.392395,126.90609,304.6423,264.37228,353.3753,277.15234,52.020763,14.93774,226.3807,223.50308,148.22508,137.99393,39.90585,35.659786,56.14602,124.69723,93.655945,181.73225
layer_16,122.94483,253.35806,17.16717,5.6442404,83.27432,14.092353,175.2068,100.75522,220.26773,145.10968,46.275604,165.19865,20.710075,21.501654,46.944576,32.96477,34.902042,40.78439,160.20085,378.56454,227.99327,168.48073,31.20803,25.922157
layer_17,56.933243,38.33069,61.872208,18.995707,24.707157,174.47697,280.062,154.54346,161.80031,20.709019,33.29358,23.076767,12.820868,94.46528,40.701694,120.63242,70.920975,89.946045,60.68617,42.676254,18.561172,28.887072,115.539825,65.32837
layer_18,92.78081,25.495333,13.986046,39.407246,23.991951,49.691593,158.87375,123.655334,99.782455,94.50515,42.102165,41.31613,39.513332,45.572887,60.6818,7.780714,73.12658,116.223885,25.323076,49.456707,97.243515,232.87035,67.894135,105.95697
layer_19,56.953686,211.8548,128.07123,194.63148,221.99297,207.03531,173.93034,187.87077,53.73262,88.14943,51.894035,106.27177,42.42596,169.54718,50.27789,21.979204,28.610361,38.146427,37.889282,81.163765,52.600613,12.405669,10.6710205,12.766389
layer_20,79.18906,47.271427,41.3496,30.43323,21.798584,27.716562,67.18746,77.501076,39.587505,17.00757,15.63223,12.316944,176.1104,253.42546,28.62346,37.33703,25.676615,30.233149,40.077885,69.671425,56.51268,174.51015,58.855774,120.65723
layer_21,226.66684,33.971058,47.452023,16.978691,15.943352,29.148296,19.079561,11.58283,18.843388,193.48555,87.28766,176.71182,17.4189,18.303015,49.490864,12.805549,28.547491,12.615169,34.643574,18.167694,27.733152,87.443245,48.858673,178.36426
layer_22,57.632076,118.06068,29.920313,10.39362,12.310394,10.027524,29.768574,21.730883,35.063232,13.711019,13.746632,11.251917,38.97605,40.802444,147.13997,40.016357,148.95424,105.108154,13.822448,12.239004,15.950448,54.348415,19.584103,22.670128
layer_23,36.0035,61.222393,61.31113,129.93254,164.95496,161.2497,49.897472,48.57558,109.80537,15.719161,24.304283,14.651545,21.19533,51.966568,122.125145,84.27241,163.82224,160.59514,11.355773,16.079357,85.031265,42.3515,20.983059,104.92887
layer_24,16.81515,32.866444,23.49899,16.858606,18.77173,18.614925,203.06476,100.001236,105.31139,137.41609,282.92816,64.72138,99.50146,12.379803,15.057738,21.57345,47.005157,17.071457,20.605406,20.214907,15.625288,74.51718,64.19924,47.154404
layer_25,27.260532,106.9,13.284683,78.971634,40.08125,12.145762,90.86465,69.94189,103.30021,7.4005427,9.146654,12.432968,31.281424,82.5798,20.262747,23.115025,40.52224,25.186064,123.97145,13.831996,138.79242,81.20557,40.165413,154.51857
layer_26,79.92584,159.43741,91.232666,60.87689,77.848694,23.194012,56.195705,151.12643,18.70198,27.416359,33.693016,23.070278,347.62253,412.4487,255.86404,136.02602,40.27703,184.3699,88.777664,102.55835,112.61938,21.037027,21.936617,61.439713
layer_27,124.33082,74.145676,68.923965,66.43216,191.61084,195.14732,19.160034,50.895756,55.225002,210.82553,51.137733,16.20009,19.286198,28.028194,36.703682,27.301855,24.601841,58.88922,97.20312,277.0421,54.41835,179.04248,41.252747,56.397087
