,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,1,1,2,2,3,3,1,26,0,2,12,3,35,5,1,8
layer_1,5,16,2,7,1,1,6,3,2,6,29,0,4,2,3,4
layer_2,2,11,5,7,6,1,40,30,2,11,1,3,8,9,1,4
layer_3,24,12,4,11,7,26,3,17,10,7,3,7,1,13,4,2
layer_4,37,34,12,17,20,9,35,30,15,0,26,1,2,1,6,2
layer_5,28,29,18,33,28,50,29,24,49,27,27,27,14,27,27,27
layer_6,15,20,7,45,29,24,36,22,27,27,22,27,27,9,27,27
layer_7,37,33,2,30,7,43,41,34,42,28,32,28,27,27,27,25
layer_8,37,0,30,26,31,33,28,24,28,27,28,27,27,27,27,27
layer_9,35,25,14,37,40,28,48,27,28,26,27,27,28,28,27,27
layer_10,33,55,36,32,40,28,39,27,15,27,30,27,26,27,26,27
layer_11,2,31,26,25,16,38,26,23,27,27,23,27,27,27,26,27
layer_12,35,44,25,36,34,29,28,27,30,25,27,28,27,27,27,27
layer_13,33,26,30,42,29,28,26,31,21,27,26,27,26,27,27,27
layer_14,35,25,29,27,31,36,29,30,29,27,27,27,23,27,23,23
layer_15,2,32,29,29,25,27,28,29,28,27,25,30,27,17,27,26
layer_16,36,8,25,29,29,32,24,27,24,27,27,27,27,27,27,26
layer_17,6,25,29,29,27,25,23,28,22,28,27,27,27,28,27,27
layer_18,23,4,30,18,28,34,22,22,25,22,27,27,27,27,25,27
layer_19,2,19,4,31,29,28,29,27,27,27,27,27,27,27,27,27
layer_20,3,15,4,13,18,26,26,26,28,27,27,27,26,27,27,27
layer_21,1,0,22,13,28,9,26,24,24,25,27,27,27,27,2,26
layer_22,0,5,2,3,6,6,19,1,26,19,21,25,3,27,27,15
layer_23,0,0,0,0,2,3,0,3,0,0,14,26,26,25,10,7
