,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,28,33,37,34,3,30,26,39,29,28,36,29,40,37,27,21
layer_1,30,21,28,28,0,26,37,20,27,27,27,29,17,19,30,21
layer_2,27,25,29,13,28,37,30,16,7,24,8,30,22,31,29,21
layer_3,30,32,25,27,32,28,29,33,5,28,21,32,21,30,21,21
layer_4,31,0,33,8,28,26,28,26,31,28,27,28,7,31,43,38
layer_5,27,20,16,34,39,29,28,23,3,35,27,26,26,0,32,21
layer_6,36,30,29,24,32,38,32,29,31,10,29,32,30,13,38,40
layer_7,21,19,31,31,27,34,18,27,33,39,18,18,0,32,28,36
layer_8,30,13,30,33,29,16,0,32,31,17,38,38,35,22,27,29
layer_9,27,34,19,18,26,0,34,35,34,32,18,34,30,26,23,25
layer_10,6,14,33,33,13,43,32,30,41,29,36,33,30,2,18,26
layer_11,28,30,27,30,33,11,27,28,30,29,30,20,0,25,21,27
layer_12,32,22,26,20,27,31,31,0,21,28,24,20,14,21,19,22
layer_13,24,27,20,28,19,22,0,18,30,0,22,25,25,35,29,20
layer_14,28,18,20,2,28,14,24,14,31,9,36,34,25,23,19,30
layer_15,19,28,19,17,28,29,32,28,27,30,18,26,30,22,32,20
layer_16,25,15,29,31,29,29,28,28,23,28,25,27,26,28,28,20
layer_17,25,21,30,28,21,21,27,20,20,19,28,29,26,4,20,23
layer_18,22,26,27,31,23,30,31,18,29,31,21,30,20,4,27,26
layer_19,30,29,26,28,23,28,27,27,27,28,30,26,23,27,28,29
layer_20,27,27,29,27,31,20,28,31,21,19,29,29,30,29,24,27
layer_21,27,18,28,29,28,32,30,27,28,28,27,25,31,30,28,29
layer_22,24,27,29,30,20,23,29,25,19,28,18,18,27,29,28,28
layer_23,27,14,26,24,29,29,33,26,24,16,28,27,26,28,29,28
layer_24,11,24,29,30,27,27,29,28,19,24,12,5,17,21,23,23
layer_25,4,21,28,29,31,28,18,19,17,16,18,18,15,18,23,27
layer_26,14,20,20,15,28,20,28,23,14,34,13,17,11,19,13,14
layer_27,26,13,18,21,19,18,16,23,21,25,9,19,25,0,19,18
layer_28,19,20,15,22,13,20,20,18,21,19,19,22,21,26,16,19
layer_29,17,23,16,20,1,15,22,23,17,18,14,19,16,18,17,18
layer_30,19,17,14,24,22,21,18,8,22,21,18,18,19,16,19,21
layer_31,21,21,13,21,10,18,19,18,22,18,22,19,16,17,19,15
layer_32,21,18,15,18,19,17,19,19,10,18,10,13,18,18,18,18
layer_33,18,18,18,18,15,15,18,18,18,15,18,18,18,18,16,18
layer_34,18,19,18,18,16,18,18,14,17,18,18,18,19,17,17,17
layer_35,20,17,18,18,18,18,18,19,18,18,18,18,18,18,20,14
layer_36,14,16,18,17,15,18,17,19,18,18,18,18,18,18,17,12
layer_37,18,18,18,18,17,21,18,16,7,17,18,18,18,16,18,1
layer_38,18,17,18,18,18,18,18,18,18,18,18,18,17,18,17,11
layer_39,16,18,17,10,18,18,5,17,17,18,18,18,14,15,18,18
layer_40,17,18,3,15,18,18,19,18,18,18,16,17,0,18,18,18
layer_41,19,18,18,14,18,18,9,2,18,18,18,8,18,18,18,18
