,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,28,0,14,0,1,0,21,17,16,20,6,16
layer_1,19,14,32,6,12,11,7,18,7,6,34,0
layer_2,17,6,15,8,7,19,6,21,16,29,19,6
layer_3,6,6,9,5,6,6,10,20,14,7,6,8
layer_4,7,7,6,16,6,6,8,0,7,6,6,12
layer_5,6,6,9,7,7,6,6,6,6,6,6,6
layer_6,8,6,6,6,16,6,6,6,7,6,6,6
layer_7,10,6,6,6,6,6,6,6,6,6,6,6
layer_8,6,6,6,6,6,6,12,6,6,6,6,6
layer_9,6,6,6,6,6,6,6,6,15,6,6,6
layer_10,6,6,6,6,6,6,6,6,6,7,6,6
layer_11,7,6,6,6,6,8,6,6,21,6,6,6
