,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,3.0,0.0,17.0,0.0,2.0,3.0,1.0,32.0,14.0,0.0,5.0,0.0
layer_1,0.0,9.0,26.0,0.0,14.0,1.0,3.0,0.0,0.0,13.0,8.0,6.0
layer_2,1.0,0.0,38.0,0.0,1.0,2.0,0.0,15.0,2.0,2.0,0.0,0.0
layer_3,31.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,7.0
layer_4,26.0,29.0,0.0,38.0,15.0,7.0,23.0,17.0,22.0,9.0,14.0,10.0
layer_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0
layer_6,0.0,3.0,2.0,32.0,1.0,0.0,0.0,0.0,15.0,42.0,24.0,3.0
layer_7,0.0,3.0,0.0,76.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,2.0
layer_8,0.0,5.0,0.0,0.0,32.0,5.0,0.0,6.0,8.0,4.0,38.0,3.0
layer_9,0.0,36.0,0.0,1.0,2.0,29.0,2.0,0.0,6.0,0.0,0.0,88.0
layer_10,1.0,0.0,29.0,26.0,0.0,1.0,11.0,1.0,21.0,20.0,1.0,21.0
layer_11,5.0,31.0,32.0,0.0,30.0,0.0,0.0,0.0,37.0,0.0,20.0,38.0
