,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,104.94279,46.694874,6.9464173,25.01483,10.968409,25.264984,117.359795,112.92113,74.99817,113.041245,79.297554,101.08056,55.56437,93.64222,142.79291,13.645699
layer_1,28.034822,3.2697225,5.076102,14.384417,0.25291574,13.879454,27.968143,3.3557549,14.743504,18.927341,26.989378,62.489555,0.49192196,0.9526258,22.389847,0.60666305
layer_2,3.4001153,2.9152148,11.868554,1.7893065,28.435528,56.535557,9.014857,0.64696705,0.9530026,4.3812394,0.77342814,11.208891,9.817306,18.148527,14.334599,1.1635982
layer_3,6.6035895,12.55152,64.19638,16.05214,91.64012,119.953575,22.900345,28.34744,2.1744337,18.398418,11.467412,33.32656,2.436032,13.296149,12.18482,8.422645
layer_4,40.09539,2.0599258,21.47888,4.320284,27.966503,42.143597,65.210106,39.807964,104.735435,46.90016,105.54306,77.20825,1.3678125,15.616318,21.073137,64.8251
layer_5,5.242405,7.3929152,2.3568716,44.09859,64.15169,36.423576,53.04285,0.915277,21.16229,41.53834,15.687254,15.47336,16.535147,2.0285747,43.772354,9.009579
layer_6,60.257996,12.865335,36.11404,43.268772,109.868355,109.75068,67.56303,37.35712,57.36504,6.6600595,51.027073,156.43593,165.23822,2.509907,29.24912,26.59939
layer_7,0.3137294,2.2928321,147.22952,106.864235,16.331116,96.621155,4.774351,19.62328,63.057636,27.645267,0.13072008,0.008961367,1.134413,96.76296,30.41081,31.470224
layer_8,110.59957,6.593262,58.125263,63.357662,59.355392,11.881541,4.538956,51.07768,100.24292,8.8203535,28.408699,17.83969,51.41467,16.123016,29.162971,34.8093
layer_9,50.13711,51.6874,2.4440978,0.04809626,70.0423,1.3634325,30.027954,148.7393,11.8917055,14.798649,10.819109,101.392006,38.22085,74.72913,15.343101,9.125848
layer_10,1.3703341,3.863147,81.120346,30.965975,19.114468,181.67502,71.122734,85.49918,86.708145,20.621536,49.14247,65.8014,73.1524,3.1641567,25.536537,44.062138
layer_11,13.254739,61.987827,8.2813,41.75868,69.57814,2.0038638,79.95529,88.61571,63.016575,59.37726,47.953453,23.504103,2.6135247,123.9248,37.584778,42.7354
layer_12,31.456907,22.29372,48.036858,137.15771,49.63005,106.17812,41.79344,0.34100962,7.9471345,31.36106,2.0205631,8.05474,84.35209,10.976177,16.60252,1.6640654
