,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,2,3,2,10,53,71,165,83,58,40,10,99,19,38,38,34
layer_1,12,8,6,12,5,7,5,111,20,21,17,15,13,7,5,11
layer_2,10,56,11,7,31,3,11,71,16,2,7,22,5,5,4,4
layer_3,19,43,107,5,33,116,3,37,21,2,7,2,5,26,4,4
layer_4,3,146,58,79,109,72,182,27,27,9,41,9,13,7,22,16
layer_5,6,88,94,58,40,49,61,37,88,43,37,37,37,37,37,37
layer_6,25,30,64,92,32,50,85,40,41,39,37,39,37,37,37,37
layer_7,2,126,75,153,63,18,59,105,44,46,45,39,37,37,37,38
layer_8,2,83,85,171,34,52,38,35,65,37,40,37,37,37,37,37
layer_9,14,46,73,41,54,56,72,37,37,38,37,37,38,37,37,37
layer_10,33,81,36,46,110,83,78,42,37,39,37,37,37,37,36,37
layer_11,36,60,46,82,37,67,35,42,41,37,38,37,37,37,38,37
layer_12,105,39,39,93,39,53,45,65,37,42,37,37,37,37,37,37
layer_13,36,38,108,130,37,55,37,40,46,39,38,37,37,37,37,37
layer_14,108,36,49,90,38,60,43,37,42,41,37,37,38,36,38,38
layer_15,106,27,49,45,40,38,134,39,41,40,40,37,37,39,37,40
layer_16,8,60,36,59,40,45,38,39,37,37,37,37,37,38,37,37
layer_17,66,87,114,78,51,42,79,48,37,38,37,37,37,37,37,36
layer_18,86,111,110,67,39,38,37,36,37,37,37,37,37,37,36,37
layer_19,67,148,132,62,43,46,113,38,37,37,37,37,36,37,37,35
layer_20,83,182,86,41,63,37,37,44,55,37,38,36,36,37,37,37
layer_21,163,2,79,159,38,75,74,36,62,37,37,37,37,37,24,38
layer_22,150,165,148,118,62,169,65,60,37,35,37,37,15,37,37,110
layer_23,162,188,13,167,152,187,104,135,75,126,40,45,39,37,52,29
