,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,52,12,134,0,0,1,83,91,36,54,32,38,1,71,151,0
layer_1,0,0,0,0,37,0,13,7,4,0,1,0,0,5,5,3
layer_2,2,3,3,2,18,20,10,1,29,3,13,6,16,41,14,6
layer_3,8,4,11,0,2,37,0,0,24,0,1,18,18,3,101,65
layer_4,21,1,18,0,1,11,2,0,101,13,13,40,0,3,8,16
layer_5,0,0,0,13,43,13,36,0,0,24,0,1,30,30,5,0
layer_6,11,0,17,1,33,46,1,0,2,18,1,18,149,0,13,103
layer_7,0,0,77,7,6,117,0,0,7,56,0,0,23,8,18,19
layer_8,139,0,38,15,7,0,30,5,28,0,13,23,72,2,0,0
layer_9,13,12,0,0,10,0,2,124,1,2,1,12,1,25,0,0
layer_10,6,5,19,14,140,74,1,2,107,9,59,6,22,8,3,8
layer_11,28,31,0,1,88,40,1,33,29,0,21,0,2,46,1,0
layer_12,43,4,28,45,67,72,1,0,0,1,0,0,15,5,1,0
layer_13,12,6,2,3,0,0,10,0,48,54,11,63,5,5,145,0
layer_14,2,4,22,22,57,0,81,47,0,0,78,132,0,0,0,4
layer_15,71,110,0,0,17,6,131,68,25,42,1,3,74,0,54,64
layer_16,126,142,29,11,75,53,2,23,3,47,0,13,0,0,9,0
layer_17,0,1,48,35,0,0,52,12,0,0,21,2,23,23,1,24
layer_18,9,6,4,23,1,6,23,24,0,81,0,100,53,35,22,31
layer_19,13,63,31,105,81,12,4,28,4,0,0,0,24,87,37,12
layer_20,143,100,41,36,20,14,9,11,2,20,3,1,5,11,7,25
layer_21,50,6,6,13,6,18,0,15,41,1,31,31,11,14,43,90
layer_22,34,78,117,70,0,7,37,0,59,118,31,7,26,36,139,103
layer_23,5,28,1,0,11,4,91,170,0,1,45,2,23,22,22,2
layer_24,0,0,155,150,74,105,40,42,0,0,0,22,0,0,20,18
layer_25,2,6,12,31,74,125,5,27,17,56,12,0,0,0,97,2
layer_26,0,0,7,26,12,5,30,8,29,118,5,20,0,50,2,11
layer_27,24,0,87,12,92,4,10,86,7,57,1,0,6,0,11,59
layer_28,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0
layer_29,0,0,2,0,0,8,6,1,0,0,32,61,46,0,1,19
layer_30,1,0,0,0,0,0,40,0,0,0,14,36,0,0,5,36
layer_31,4,17,5,29,2,4,0,0,30,3,16,0,0,0,8,0
layer_32,0,0,0,0,0,0,0,0,76,2,0,14,22,0,0,0
layer_33,0,0,0,0,52,0,0,8,13,5,7,0,0,1,0,0
layer_34,0,15,0,0,19,24,0,0,0,2,11,4,0,0,0,0
layer_35,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0
layer_36,0,0,2,0,0,5,0,0,0,14,2,0,0,0,40,0
layer_37,0,0,0,0,6,13,0,0,0,14,2,0,6,0,0,0
layer_38,1,3,0,0,3,10,0,0,0,4,30,0,0,0,13,0
layer_39,7,3,15,0,1,0,0,9,0,0,0,17,0,16,0,0
layer_40,2,0,5,89,0,0,2,1,0,0,7,0,0,0,0,0
layer_41,9,3,0,0,11,2,1,0,0,0,20,0,0,0,0,0
