,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,90,148,129,92,73,92,144,137,134,89,134,117,143,109,100,80
layer_1,119,50,77,145,153,68,86,45,83,79,135,118,81,179,95,61
layer_2,151,124,156,83,123,93,184,155,114,173,189,136,95,152,116,235
layer_3,128,156,139,130,121,166,135,129,129,129,128,142,129,134,129,118
layer_4,129,129,133,137,129,145,129,132,133,129,129,122,129,129,134,130
layer_5,130,121,149,129,129,140,190,129,129,130,129,129,127,130,129,230
layer_6,179,207,129,132,139,153,145,129,135,129,129,121,129,129,129,129
layer_7,134,132,129,128,133,128,129,129,127,129,129,156,130,139,117,127
layer_8,129,129,129,127,158,144,106,129,130,129,131,130,231,129,129,129
layer_9,124,129,136,124,131,181,113,140,129,141,97,100,129,175,128,129
layer_10,129,127,128,156,155,104,130,129,129,137,129,141,123,129,135,129
layer_11,130,137,129,134,131,150,126,130,123,128,125,184,158,127,130,129
layer_12,118,129,136,129,131,128,133,94,133,128,130,117,141,112,129,129
layer_13,138,129,132,130,136,128,133,134,129,127,129,129,147,151,124,131
layer_14,155,129,129,129,128,129,129,137,115,139,128,128,130,131,128,130
layer_15,126,149,129,129,129,128,129,131,129,132,128,132,129,132,145,127
layer_16,127,129,126,183,131,129,117,129,129,133,92,129,133,129,134,128
layer_17,131,129,135,96,129,130,131,129,131,132,130,130,130,138,129,129
layer_18,129,129,131,121,127,130,130,129,122,137,129,163,130,130,131,131
layer_19,126,128,149,129,134,129,128,129,130,130,129,131,130,133,129,127
layer_20,129,129,130,132,130,138,112,130,129,126,131,154,123,129,131,127
layer_21,130,129,130,130,124,132,131,129,130,129,129,129,127,130,127,132
layer_22,121,129,129,130,130,131,130,129,129,128,129,129,124,129,129,129
layer_23,130,135,130,129,131,129,129,129,147,127,135,132,129,130,127,128
layer_24,138,129,130,128,129,126,132,132,128,132,133,122,129,154,129,131
layer_25,129,128,129,132,132,129,145,129,134,130,121,129,129,130,134,121
layer_26,129,129,129,124,129,129,129,129,127,141,168,126,132,128,133,143
layer_27,144,129,131,150,129,132,129,130,129,126,128,130,130,129,130,129
