,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,121,94,82,205,193,41,108,157,131,114,95,93
layer_1,205,157,224,35,79,65,47,91,39,35,232,49
layer_2,135,37,123,109,48,123,36,186,157,280,240,35
layer_3,35,35,109,51,35,35,135,177,104,41,35,50
layer_4,42,36,35,84,35,36,44,115,35,35,35,110
layer_5,34,35,38,36,38,35,37,35,35,35,35,35
layer_6,40,35,35,35,67,35,35,35,50,35,35,35
layer_7,50,35,35,35,35,35,35,35,35,35,35,35
layer_8,35,35,35,35,35,35,47,37,35,35,35,36
layer_9,35,35,35,36,35,35,35,35,56,35,35,35
layer_10,35,35,35,35,36,35,35,35,35,35,35,35
layer_11,38,35,35,35,35,39,35,36,125,35,35,35
