,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,20,15,17,20,9,15,11,10,10,18,3,14,13,17,2,7
layer_1,12,23,19,29,23,20,18,18,18,15,15,12,13,12,18,19
layer_2,25,23,16,19,23,22,17,18,12,9,11,16,15,12,10,11
layer_3,40,15,30,22,24,22,15,9,16,11,16,10,12,10,7,4
layer_4,25,26,13,18,30,19,22,15,14,12,14,11,8,9,9,15
layer_5,32,25,27,14,7,15,16,9,12,7,7,7,8,8,7,8
layer_6,33,31,17,9,27,17,8,10,7,7,7,6,9,7,8,9
layer_7,19,33,6,33,2,39,6,7,13,6,8,7,7,7,7,7
layer_8,28,2,33,26,10,12,10,10,8,10,7,8,7,7,8,7
layer_9,43,37,8,19,20,14,7,9,9,7,7,7,9,8,7,7
layer_10,28,43,16,12,11,14,13,13,7,9,8,9,7,7,7,7
layer_11,28,32,19,16,7,10,8,9,8,7,7,7,7,7,7,7
layer_12,42,36,24,20,11,8,8,18,7,8,8,7,7,7,8,7
layer_13,39,42,19,20,9,8,7,8,7,7,8,7,7,7,7,7
layer_14,29,22,8,20,6,8,8,7,7,7,7,7,7,7,7,8
layer_15,37,38,16,8,8,8,9,7,8,7,19,7,7,7,7,7
layer_16,43,26,9,9,12,15,7,7,7,7,7,7,7,7,7,7
layer_17,14,26,32,18,7,7,7,15,7,7,7,7,7,7,7,7
layer_18,35,18,15,19,9,7,7,7,7,7,7,7,7,7,9,7
layer_19,8,27,26,9,7,15,10,7,7,7,7,7,7,7,7,7
layer_20,30,24,22,6,11,6,14,8,7,7,7,7,7,7,7,7
layer_21,15,40,16,22,8,7,7,7,8,7,7,7,7,7,14,8
layer_22,24,28,26,11,27,10,7,18,7,7,7,7,10,7,7,6
layer_23,34,10,38,28,20,28,21,6,6,13,11,17,12,12,14,14
