,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,93,74,0,31,49,0,0,80,0,63,1,26
layer_1,0,12,1,17,20,0,128,0,2,2,1,38
layer_2,9,1,0,0,9,19,2,46,4,407,0,7
layer_3,0,66,402,22,14,8,23,0,44,0,24,61
layer_4,0,0,1,85,15,0,9,0,1,19,0,0
layer_5,0,1,3,5,45,56,0,155,53,17,43,0
layer_6,21,13,0,217,0,0,23,0,14,2,88,15
layer_7,2,0,192,440,0,3,2,2,17,1,24,173
layer_8,55,0,22,181,5,3,21,94,257,80,5,2
layer_9,0,2,0,400,2,42,174,0,4,0,0,7
layer_10,461,0,2,7,97,125,30,7,0,1,2,3
layer_11,343,292,0,477,278,98,0,17,18,73,208,55
