,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,23.91188,72.093735,20.818094,7.4912963,6.383849,68.21332,8.201349,100.577126,0.45414943,1.8166589,43.770664,16.189724,7.1110344,6.9150915,0.99061817,5.8725405
layer_1,33.249317,46.08323,48.803196,67.6315,47.574898,25.016932,59.70102,53.29488,56.74664,66.52863,72.60225,0.18284109,83.120834,48.861855,56.466076,49.32671
layer_2,42.93643,57.73393,73.1841,51.116703,45.94283,1.1758697,61.324936,52.272667,43.512512,19.841951,49.894455,52.625717,42.940052,60.712418,45.92485,43.138348
layer_3,116.32526,71.90519,42.011524,68.378784,60.19557,71.732574,61.212208,47.979317,63.410133,74.21743,73.87478,78.962524,54.536957,41.86501,77.04055,64.13707
layer_4,44.766933,78.26752,34.89711,71.86667,65.48018,132.90475,67.64785,74.36017,81.14525,93.17778,99.19021,90.810486,37.272144,66.27327,108.75872,111.68683
layer_5,81.84547,64.62014,84.91514,70.93802,50.697163,42.5104,54.568302,71.7559,47.051144,111.8192,125.22395,17.929552,54.747974,105.68072,128.98305,63.813923
layer_6,129.76218,23.880438,15.593035,29.857893,13.490483,107.86363,30.4838,8.920942,46.300503,50.75788,49.091858,27.91761,37.537506,121.29016,22.871809,73.9483
layer_7,130.61734,89.93356,115.15866,148.90678,38.923794,150.48723,121.0533,93.48132,90.78452,84.76855,300.63452,95.50879,98.20597,120.85505,60.399036,151.38164
layer_8,70.33783,52.757793,1.2622505,52.346764,84.92982,18.077013,52.64176,63.018772,56.03241,16.441221,53.14946,62.652878,38.817146,42.281574,0.15431984,40.156937
layer_9,60.276524,98.40264,66.59416,58.340195,83.57246,83.11698,136.66656,134.25981,83.32427,103.80209,91.44658,88.84241,120.131065,131.88725,5.187098,49.01668
layer_10,44.160755,41.434326,38.51519,47.040466,36.53453,51.339577,47.436096,41.64043,38.012207,38.565105,112.0371,38.84828,42.9422,42.039886,44.819885,63.026707
layer_11,53.909462,61.770527,68.19478,46.877823,222.79253,99.203896,54.172695,54.53894,170.7865,81.4559,69.749115,79.881516,66.51145,197.69331,108.43966,97.91247
layer_12,43.241856,21.392315,45.111237,41.45986,59.059845,58.69575,42.604336,34.35925,39.34042,51.743736,39.085663,57.13543,54.268143,39.11753,64.29526,46.959984
layer_13,62.752037,86.70007,78.41,102.24296,59.381115,43.10339,46.47187,61.783318,62.81927,50.51819,62.262234,70.98121,73.661354,55.17939,123.9012,69.54639
layer_14,40.22961,36.700073,69.13466,43.470375,44.833973,49.753956,39.949284,40.546482,43.7795,41.65004,41.71372,56.32431,41.871475,40.97008,39.120255,54.71825
layer_15,45.49116,44.65691,74.12272,82.08082,52.646355,43.426147,46.734627,51.436157,44.936478,172.53511,70.99289,115.44021,46.53052,61.045086,52.66424,35.625374
layer_16,44.182003,37.248108,57.398182,42.659634,46.511715,42.97138,42.95788,45.445892,42.671024,51.275883,41.824997,30.865881,43.41443,44.35803,48.736164,40.385998
layer_17,72.81259,108.86365,48.1414,47.06139,48.381626,54.58042,28.694004,44.95231,43.762856,76.78774,47.42753,104.28221,52.729294,44.19088,116.83494,44.396976
layer_18,47.10085,43.742477,36.50882,46.125137,42.73135,47.32688,55.783916,44.068157,44.00316,56.249027,45.57198,47.361893,50.783142,45.02196,39.23395,51.377323
layer_19,44.73134,57.948063,39.97788,42.389843,40.295776,46.591103,49.25345,41.058853,66.35398,43.841576,49.188065,49.619747,44.891876,69.52574,43.338757,42.68589
layer_20,44.621365,66.50656,39.99364,44.013268,38.763577,38.142292,57.69445,40.430138,47.316853,46.617676,46.382095,48.013027,46.291298,41.910625,44.615997,51.365395
layer_21,56.082474,40.14847,57.915546,47.62135,54.945454,45.744286,39.03791,38.66461,36.861588,39.599552,50.82466,99.65582,40.242027,82.376625,51.288574,63.57273
layer_22,52.714844,43.144436,37.00111,53.040897,41.599094,47.130287,49.735794,37.46188,37.40876,45.57433,46.40368,29.683937,41.240417,44.561783,38.79639,43.163338
layer_23,36.582928,19.835703,36.636578,33.112843,37.1592,15.960344,24.507055,34.499897,0.33339468,36.24696,29.895042,13.984424,14.480496,4.470853,30.126705,22.722404
