,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,2.0,7.0,9.0,13.0,2.0,6.0,8.0,4.0,13.0,6.0,13.0,16.0
layer_1,4.0,6.0,0.0,1.0,2.0,1.0,0.0,2.0,5.0,0.0,5.0,5.0
layer_2,14.0,6.0,0.0,0.0,1.0,0.0,4.0,1.0,2.0,14.0,1.0,1.0
layer_3,2.0,2.0,2.0,5.0,5.0,13.0,1.0,0.0,0.0,13.0,6.0,4.0
layer_4,3.0,1.0,0.0,0.0,0.0,7.0,1.0,4.0,1.0,1.0,2.0,7.0
layer_5,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,11.0,0.0
layer_6,0.0,0.0,1.0,1.0,3.0,1.0,4.0,0.0,0.0,8.0,0.0,12.0
layer_7,5.0,0.0,7.0,0.0,12.0,1.0,0.0,1.0,2.0,5.0,9.0,3.0
layer_8,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0
layer_9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0
layer_10,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
layer_11,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0
