,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,1,31,33,110,58,41,15,25,41,1,2,34
layer_1,103,17,0,103,0,76,19,189,43,38,46,71
layer_2,15,360,1,5,1,0,43,0,28,66,38,5
layer_3,15,8,12,64,84,99,22,20,1,0,2,23
layer_4,18,1,45,15,131,3,10,3,4,35,7,22
layer_5,37,4,77,8,14,20,11,59,59,8,24,7
layer_6,1,6,2,106,34,5,47,6,16,20,19,21
layer_7,25,24,7,6,18,49,13,18,15,32,68,17
layer_8,33,19,7,11,50,33,74,37,21,19,37,38
layer_9,7,20,78,48,43,31,56,10,27,8,32,31
layer_10,18,50,42,62,33,57,35,13,44,18,50,25
layer_11,62,36,6,54,57,49,37,58,17,29,12,13
