,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,1032.0,169.0,1728.0,612.0,223.0,210.0,2158.0,7.0,2164.0,280.0,146.0,35.0
layer_1,0.0,0.0,0.0,0.0,0.0,873.0,0.0,0.0,16.0,0.0,0.0,470.0
layer_2,66.0,0.0,36.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
layer_3,0.0,0.0,0.0,3.0,309.0,0.0,0.0,1.0,1.0,14.0,0.0,0.0
layer_4,22.0,0.0,321.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,462.0,8.0
layer_5,3.0,0.0,2091.0,2.0,0.0,0.0,1.0,1.0,39.0,0.0,0.0,18.0
layer_6,346.0,0.0,0.0,10.0,0.0,1657.0,138.0,1.0,0.0,6.0,0.0,0.0
layer_7,250.0,0.0,12.0,0.0,144.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0
layer_8,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,523.0,0.0,12.0,3.0
layer_9,0.0,0.0,0.0,0.0,0.0,1064.0,0.0,0.0,1.0,0.0,0.0,0.0
layer_10,0.0,0.0,0.0,0.0,3.0,68.0,0.0,38.0,9.0,0.0,0.0,0.0
layer_11,9.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
