,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,365.88937,371.63052,555.7297,876.21375,351.23752,370.47592,1376.3927,437.2719,317.45102,778.5124,523.92316,331.4418
layer_1,140.16483,417.25525,1330.3334,185.92067,1077.8663,589.5084,203.17902,626.60504,80.48901,27.236315,145.81558,31.223259
layer_2,263.70444,606.82,581.4955,373.94363,205.20828,583.42126,269.2227,1120.8315,44.37251,89.35032,24.847794,937.2794
layer_3,54.037518,520.34247,173.66374,694.9273,537.4317,380.2958,246.38693,543.0901,381.87177,65.47407,693.55786,30.435928
layer_4,82.350426,101.20711,696.22797,669.0707,760.2077,20.28903,167.42953,451.97287,458.447,519.1797,743.6225,175.16745
layer_5,307.7281,119.60186,173.39497,299.48196,296.87985,228.39816,682.47015,539.99347,647.46826,16.81036,1294.0275,218.15372
layer_6,309.8237,12.204567,20.777485,559.9429,332.95157,105.367714,249.87685,775.4763,563.19324,1322.9457,663.0152,388.88324
layer_7,120.35942,282.99823,326.32614,491.2648,15.757128,345.30515,182.40067,136.30766,174.37788,133.04176,422.5651,355.70767
layer_8,89.13044,189.5465,231.86145,620.4594,464.17114,33.83083,471.81033,56.51247,163.96857,188.69536,208.99388,288.88538
layer_9,93.06394,42.33444,221.30687,172.93286,215.1406,190.41313,168.61093,230.94096,180.64325,142.31456,472.33774,29.113134
layer_10,459.75223,134.0533,195.43364,331.17175,101.02137,128.3142,87.955086,122.79075,60.679432,209.90228,120.3742,158.49455
layer_11,137.65262,127.79513,40.3206,156.52924,299.7036,98.56173,73.43274,357.94696,183.34186,114.04145,174.72266,173.44446
