,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,43,3,567,0,0,0,0,1,0,0,0,6,2,0,0,0,0,1,0,0,91,37,0,21,1,175,0,0,0,0,0,0
layer_1,0,65,0,6,5,6,4,0,0,0,0,2,24,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layer_2,87,1,1,0,0,0,0,0,1,4,0,7,0,0,0,0,2,0,4,0,0,1,0,0,0,12,0,0,11,0,28,30
layer_3,1,0,19,5,0,35,1,3,1,0,116,0,0,0,1,7,10,44,0,0,0,0,0,0,11,0,41,0,35,0,7,16
layer_4,0,2,0,0,47,0,0,35,4,1,0,0,37,4,7,0,0,38,1,0,0,0,0,10,185,1,0,37,0,0,0,58
layer_5,0,0,324,11,1,0,0,0,0,0,0,0,16,72,20,8,34,3,19,0,102,0,0,0,0,74,0,0,0,37,4,10
layer_6,227,14,18,360,2,6,1,4,0,0,0,0,0,0,1,28,3,31,1,14,0,6,18,0,23,1,0,0,0,13,1,27
layer_7,96,4,33,0,48,0,0,0,0,0,0,0,0,0,9,3,167,106,2,0,0,0,0,1,0,0,1,0,0,0,0,135
layer_8,0,0,3,0,0,4,4,7,3,21,1,212,34,16,1,4,0,0,0,0,0,0,5,1,1,206,315,0,0,67,0,0
layer_9,0,0,0,9,50,70,3,59,0,0,0,41,0,140,90,3,0,0,0,1,39,0,0,9,0,0,39,0,36,24,88,4
layer_10,0,0,0,0,0,2,0,0,76,8,5,0,0,0,0,0,29,0,26,1,0,0,0,0,0,0,0,0,67,9,0,0
layer_11,7,0,2,0,0,0,0,0,7,40,1,36,0,0,0,4,5,27,0,4,0,0,0,1,0,0,0,0,4,0,45,7
layer_12,0,0,0,18,0,0,0,140,6,16,7,2,0,0,0,0,0,0,0,13,0,25,20,42,0,0,4,0,0,0,0,0
layer_13,0,0,0,0,69,0,0,0,0,18,0,18,0,0,0,13,0,0,57,0,0,0,0,0,68,0,10,12,2,0,20,0
layer_14,0,0,0,0,1,15,1,0,0,0,1,0,0,0,0,0,1,8,57,45,0,0,0,1,1,8,0,3,0,0,0,0
layer_15,19,0,0,0,0,0,1,0,6,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,19,0,0,0,0,0
