,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,157,42,233,20,180,93,16,128,293,16,6,307
layer_1,115,183,0,98,0,151,164,125,157,138,97,111
layer_2,137,129,230,0,1,236,82,0,134,76,171,2
layer_3,173,117,123,85,213,147,56,217,52,1,23,176
layer_4,114,188,131,22,206,6,87,21,261,123,65,80
layer_5,73,37,167,40,190,205,214,184,155,56,140,166
layer_6,5,26,15,309,208,11,149,66,103,26,169,97
layer_7,210,128,71,87,118,196,271,39,74,231,188,45
layer_8,136,94,181,107,138,219,234,271,131,347,192,247
layer_9,207,163,262,189,241,273,283,68,114,47,203,292
layer_10,12,215,166,233,48,285,100,105,283,160,224,78
layer_11,231,187,43,292,210,198,126,238,85,145,207,81
