,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,7.0,5.0,6.0,8.0,5.0,13.0,19.0,3.0,3.0,15.0,0.0,20.0,13.0,12.0,0.0,10.0
layer_1,7.0,14.0,10.0,6.0,5.0,3.0,7.0,20.0,12.0,8.0,15.0,9.0,10.0,13.0,11.0,14.0
layer_2,12.0,19.0,8.0,15.0,15.0,11.0,7.0,20.0,10.0,3.0,12.0,16.0,15.0,10.0,8.0,11.0
layer_3,14.0,13.0,14.0,16.0,14.0,28.0,2.0,19.0,14.0,5.0,7.0,4.0,8.0,16.0,11.0,3.0
layer_4,18.0,24.0,12.0,19.0,27.0,17.0,31.0,13.0,14.0,5.0,14.0,5.0,6.0,8.0,13.0,3.0
layer_5,16.0,15.0,25.0,24.0,22.0,19.0,20.0,18.0,17.0,20.0,19.0,19.0,19.0,19.0,19.0,16.0
layer_6,24.0,11.0,22.0,23.0,20.0,17.0,20.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
layer_7,18.0,29.0,5.0,30.0,8.0,16.0,24.0,20.0,19.0,20.0,19.0,23.0,19.0,19.0,19.0,19.0
layer_8,19.0,4.0,16.0,23.0,19.0,17.0,19.0,18.0,17.0,19.0,21.0,19.0,19.0,19.0,19.0,19.0
layer_9,19.0,22.0,3.0,22.0,20.0,19.0,21.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
layer_10,12.0,12.0,21.0,18.0,19.0,17.0,24.0,20.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
layer_11,10.0,16.0,15.0,18.0,18.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
layer_12,20.0,10.0,20.0,17.0,18.0,18.0,19.0,16.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
layer_13,15.0,17.0,19.0,15.0,19.0,19.0,19.0,19.0,20.0,17.0,19.0,19.0,19.0,19.0,19.0,19.0
layer_14,11.0,13.0,20.0,19.0,19.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,20.0,19.0,19.0,19.0
layer_15,4.0,14.0,17.0,17.0,19.0,19.0,18.0,19.0,17.0,19.0,19.0,19.0,19.0,18.0,19.0,19.0
layer_16,16.0,11.0,19.0,18.0,19.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
layer_17,6.0,25.0,15.0,15.0,17.0,19.0,18.0,12.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,19.0
layer_18,7.0,9.0,17.0,21.0,16.0,16.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
layer_19,13.0,12.0,23.0,16.0,18.0,17.0,16.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
layer_20,0.0,6.0,17.0,18.0,15.0,16.0,19.0,18.0,17.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0
layer_21,0.0,1.0,10.0,14.0,18.0,17.0,17.0,19.0,18.0,18.0,19.0,19.0,19.0,19.0,8.0,15.0
layer_22,0.0,7.0,11.0,8.0,6.0,13.0,10.0,7.0,19.0,15.0,19.0,19.0,5.0,19.0,19.0,15.0
layer_23,0.0,6.0,0.0,0.0,2.0,3.0,8.0,2.0,1.0,0.0,16.0,16.0,17.0,14.0,20.0,14.0
