,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,274,100,132,248,286,21,154,20,183,8,114,19
layer_1,4,46,14,5,98,14,5,42,1,23,7,14
layer_2,116,2,0,1,22,28,0,10,53,116,4,26
layer_3,0,17,5,71,118,248,0,2,5,105,67,155
layer_4,9,163,0,0,112,93,8,23,2,9,109,77
layer_5,139,16,5,56,0,0,4,4,58,114,207,1
layer_6,4,111,15,12,104,22,34,5,0,28,3,202
layer_7,6,29,111,0,174,63,0,0,0,9,216,25
layer_8,1,0,39,0,112,95,24,12,6,3,55,0
layer_9,0,2,4,0,1,25,0,5,0,10,14,0
layer_10,0,0,17,2,0,0,0,0,2,0,0,19
layer_11,0,1,33,0,0,8,0,2,0,15,0,0
