,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,298,0,198,0,1,0,268,68,248,282,63,250
layer_1,48,67,192,71,122,161,104,183,101,71,278,0
layer_2,39,70,13,12,44,44,71,169,55,105,142,71
layer_3,71,72,8,24,72,71,18,59,21,72,71,84
layer_4,67,77,71,72,71,75,77,2,75,71,71,6
layer_5,72,71,78,71,69,72,60,71,72,71,71,71
layer_6,68,71,71,71,172,71,71,71,48,71,71,71
layer_7,29,71,71,71,71,71,71,71,73,71,71,72
layer_8,71,71,71,71,71,71,114,74,71,71,71,72
layer_9,71,71,71,75,71,71,71,71,172,71,71,71
layer_10,71,71,71,71,71,71,71,71,69,75,71,72
layer_11,73,71,71,72,71,82,71,71,259,71,71,71
