,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,477.0,157.0,233.0,46.0,268.0,1.0,13.0,199.0,98.0,147.0,235.0,34.0
layer_1,89.0,107.0,5.0,37.0,9.0,53.0,45.0,84.0,3.0,346.0,0.0,1.0
layer_2,3.0,7.0,92.0,20.0,53.0,15.0,94.0,7.0,4.0,223.0,6.0,7.0
layer_3,9.0,8.0,200.0,1.0,17.0,30.0,52.0,4.0,29.0,10.0,20.0,193.0
layer_4,33.0,415.0,41.0,23.0,33.0,1.0,7.0,0.0,136.0,156.0,0.0,0.0
layer_5,80.0,2.0,19.0,182.0,87.0,77.0,43.0,304.0,270.0,77.0,24.0,0.0
layer_6,53.0,98.0,69.0,314.0,0.0,0.0,119.0,41.0,169.0,3.0,162.0,42.0
layer_7,6.0,58.0,289.0,497.0,12.0,17.0,64.0,155.0,143.0,3.0,209.0,466.0
layer_8,264.0,24.0,517.0,1078.0,3.0,12.0,247.0,1172.0,739.0,27.0,9.0,75.0
layer_9,18.0,49.0,114.0,545.0,49.0,180.0,475.0,42.0,65.0,92.0,0.0,112.0
layer_10,311.0,0.0,5.0,33.0,119.0,444.0,215.0,143.0,14.0,141.0,185.0,4.0
layer_11,428.0,305.0,0.0,496.0,583.0,539.0,2.0,25.0,31.0,442.0,343.0,435.0
