,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,32.0,29.0,33.0,15.0,23.0,35.0,33.0,11.0,35.0,33.0,41.0,32.0
layer_1,16.0,14.0,26.0,25.0,27.0,24.0,25.0,28.0,25.0,24.0,25.0,29.0
layer_2,8.0,25.0,4.0,4.0,21.0,6.0,25.0,20.0,10.0,20.0,26.0,25.0
layer_3,26.0,25.0,1.0,20.0,25.0,25.0,15.0,10.0,4.0,25.0,25.0,23.0
layer_4,25.0,21.0,25.0,24.0,25.0,25.0,25.0,20.0,25.0,25.0,25.0,1.0
layer_5,25.0,26.0,23.0,25.0,20.0,26.0,21.0,25.0,25.0,25.0,25.0,25.0
layer_6,23.0,25.0,25.0,25.0,30.0,25.0,25.0,25.0,23.0,25.0,25.0,25.0
layer_7,9.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
layer_8,25.0,25.0,25.0,25.0,25.0,25.0,28.0,24.0,25.0,25.0,25.0,25.0
layer_9,25.0,25.0,25.0,23.0,25.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0
layer_10,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,25.0,25.0
layer_11,29.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,25.0,25.0,25.0
