,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,14.0,3.0,66.0,0.0,7.0,9.0,4.0,78.0,23.0,6.0,44.0,0.0
layer_1,3.0,5.0,1.0,0.0,45.0,23.0,0.0,0.0,5.0,2.0,24.0,9.0
layer_2,0.0,0.0,81.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
layer_3,66.0,0.0,1.0,4.0,7.0,2.0,1.0,1.0,10.0,10.0,0.0,0.0
layer_4,3.0,62.0,12.0,102.0,10.0,38.0,2.0,34.0,0.0,0.0,13.0,22.0
layer_5,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,2.0,2.0,22.0
layer_6,5.0,4.0,36.0,7.0,4.0,24.0,5.0,0.0,2.0,70.0,0.0,2.0
layer_7,16.0,2.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer_8,20.0,1.0,9.0,0.0,29.0,62.0,0.0,6.0,25.0,5.0,2.0,22.0
layer_9,0.0,6.0,7.0,0.0,0.0,16.0,8.0,21.0,13.0,3.0,33.0,4.0
layer_10,2.0,2.0,106.0,0.0,26.0,4.0,10.0,3.0,0.0,36.0,7.0,32.0
layer_11,35.0,12.0,41.0,8.0,2.0,14.0,63.0,34.0,12.0,10.0,64.0,96.0
