,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,23,22,17,32,32,13,20,33,24,22,22,22
layer_1,36,31,33,13,15,16,12,15,13,13,39,11
layer_2,27,13,37,33,13,31,13,36,33,44,29,13
layer_3,13,13,38,18,13,13,36,39,31,14,13,15
layer_4,14,13,13,19,13,13,13,23,13,13,13,37
layer_5,13,13,13,13,13,13,14,13,13,13,13,13
layer_6,14,13,13,13,17,13,13,13,18,13,13,13
layer_7,25,13,13,13,13,13,13,13,13,13,13,13
layer_8,13,13,13,13,13,13,23,13,13,13,13,13
layer_9,13,13,13,14,13,13,13,13,21,13,13,13
layer_10,13,13,13,13,13,13,13,13,13,13,13,13
layer_11,13,13,13,13,13,14,13,13,29,13,13,13
