,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,599.0,429.0,553.0,470.0,278.0,523.0,202.0,221.0,61.0,215.0,69.0,149.0,485.0,399.0,14.0,503.0
layer_1,100.0,344.0,478.0,655.0,730.0,503.0,655.0,287.0,671.0,494.0,331.0,463.0,399.0,275.0,388.0,424.0
layer_2,159.0,233.0,478.0,494.0,556.0,499.0,659.0,160.0,522.0,249.0,491.0,368.0,368.0,384.0,439.0,476.0
layer_3,951.0,218.0,431.0,406.0,684.0,363.0,491.0,171.0,375.0,435.0,388.0,325.0,481.0,170.0,384.0,381.0
layer_4,323.0,359.0,44.0,646.0,547.0,523.0,134.0,147.0,364.0,578.0,298.0,419.0,481.0,535.0,465.0,124.0
layer_5,220.0,110.0,418.0,168.0,146.0,113.0,110.0,117.0,137.0,100.0,103.0,105.0,103.0,103.0,103.0,131.0
layer_6,660.0,238.0,377.0,223.0,86.0,288.0,170.0,151.0,123.0,105.0,104.0,102.0,103.0,105.0,103.0,106.0
layer_7,298.0,712.0,211.0,604.0,45.0,316.0,204.0,111.0,115.0,100.0,107.0,99.0,101.0,103.0,103.0,104.0
layer_8,404.0,26.0,521.0,223.0,92.0,125.0,115.0,116.0,119.0,108.0,227.0,103.0,103.0,103.0,103.0,103.0
layer_9,460.0,646.0,52.0,232.0,253.0,230.0,122.0,133.0,104.0,104.0,103.0,104.0,108.0,103.0,103.0,103.0
layer_10,186.0,315.0,131.0,326.0,208.0,125.0,141.0,114.0,102.0,105.0,103.0,105.0,103.0,103.0,103.0,103.0
layer_11,133.0,268.0,277.0,316.0,105.0,169.0,108.0,105.0,104.0,103.0,103.0,103.0,103.0,104.0,105.0,104.0
layer_12,593.0,347.0,200.0,281.0,140.0,150.0,107.0,303.0,103.0,103.0,104.0,103.0,103.0,103.0,103.0,103.0
layer_13,328.0,522.0,165.0,265.0,103.0,112.0,105.0,105.0,128.0,103.0,104.0,103.0,103.0,103.0,103.0,103.0
layer_14,116.0,471.0,177.0,244.0,164.0,201.0,105.0,103.0,101.0,104.0,103.0,103.0,127.0,106.0,103.0,108.0
layer_15,222.0,392.0,179.0,176.0,179.0,103.0,212.0,104.0,103.0,103.0,161.0,103.0,103.0,105.0,103.0,103.0
layer_16,464.0,476.0,104.0,177.0,112.0,199.0,103.0,104.0,104.0,103.0,103.0,103.0,103.0,104.0,103.0,103.0
layer_17,36.0,342.0,211.0,112.0,112.0,105.0,195.0,412.0,105.0,104.0,103.0,163.0,103.0,108.0,103.0,102.0
layer_18,230.0,155.0,151.0,244.0,191.0,98.0,121.0,121.0,106.0,103.0,103.0,155.0,103.0,103.0,108.0,103.0
layer_19,60.0,115.0,378.0,119.0,104.0,194.0,162.0,115.0,136.0,103.0,116.0,104.0,113.0,103.0,103.0,111.0
layer_20,33.0,146.0,352.0,100.0,125.0,94.0,113.0,85.0,104.0,103.0,442.0,103.0,154.0,183.0,103.0,103.0
layer_21,38.0,268.0,52.0,95.0,124.0,84.0,94.0,110.0,103.0,106.0,121.0,103.0,105.0,103.0,232.0,205.0
layer_22,7.0,18.0,28.0,50.0,110.0,71.0,98.0,110.0,138.0,305.0,115.0,120.0,539.0,103.0,126.0,103.0
layer_23,0.0,1.0,186.0,1.0,38.0,3.0,44.0,2.0,5.0,0.0,284.0,144.0,187.0,155.0,117.0,99.0
