,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,393.0,8.0,441.0,33.0,139.0,11.0,32.0,508.0,485.0,10.0,387.0,4.0
layer_1,15.0,179.0,455.0,7.0,458.0,237.0,50.0,2.0,68.0,99.0,152.0,78.0
layer_2,1.0,0.0,616.0,3.0,13.0,32.0,0.0,243.0,50.0,136.0,4.0,37.0
layer_3,559.0,1.0,256.0,292.0,11.0,0.0,6.0,1.0,1.0,323.0,9.0,9.0
layer_4,253.0,485.0,7.0,752.0,332.0,102.0,100.0,226.0,255.0,220.0,80.0,146.0
layer_5,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,7.0,0.0,401.0,24.0
layer_6,0.0,240.0,4.0,348.0,1.0,0.0,2.0,0.0,90.0,593.0,229.0,3.0
layer_7,65.0,72.0,0.0,41.0,6.0,44.0,11.0,18.0,0.0,0.0,9.0,1.0
layer_8,0.0,65.0,2.0,0.0,522.0,113.0,9.0,1.0,933.0,0.0,21.0,74.0
layer_9,0.0,410.0,2.0,5.0,0.0,558.0,44.0,0.0,490.0,0.0,1.0,6.0
layer_10,4.0,0.0,994.0,398.0,234.0,258.0,30.0,0.0,200.0,948.0,93.0,423.0
layer_11,531.0,442.0,526.0,131.0,265.0,102.0,270.0,1.0,631.0,46.0,349.0,687.0
