,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,0.2662947,0.20588593,0.17824626,0.19879375,0.20373961,0.3499801,0.44258228,0.44211382,0.32146785,0.71371925,0.41791034,0.5700104,0.686744,0.6177267,0.27049357,0.58588207
layer_1,0.07432163,0.14490333,0.18507838,0.2040528,0.29275748,0.3576001,0.36511156,0.71041673,0.50838536,0.61012906,0.8961968,0.7036547,0.7535175,0.7344329,0.67277914,0.7098762
layer_2,0.113351986,0.15414754,0.23387662,0.31752357,0.32466453,0.42041802,0.5455466,0.7420287,0.5291228,0.7667549,0.64066404,0.8380084,0.64891684,0.7047894,0.6872797,0.6520274
layer_3,0.16381283,0.14697234,0.23967397,0.26533976,0.4075995,0.69637376,0.39586008,0.7172951,0.62227035,0.6180424,0.60116285,0.66604155,0.63028246,0.8040875,0.65075815,0.80408204
layer_4,0.122805275,0.23791187,0.16966419,0.38886732,0.5524439,0.44406027,0.64862937,0.94765604,0.7332172,0.5514923,0.7962043,0.5648381,0.65642667,0.66913414,0.7420663,0.6276028
layer_5,0.18588115,0.16843514,0.38225707,0.7309299,0.9310344,0.8760685,0.9410036,1.0,0.8340829,0.95878696,0.9519764,0.9461069,0.9515241,0.94831735,0.95056444,0.98754257
layer_6,0.324228,0.25209367,0.42414302,0.68382883,0.90443265,0.93747205,0.9036164,0.7663271,0.92151386,0.94797343,0.9468911,0.95869005,0.9477844,0.9416012,0.9493999,0.9481925
layer_7,0.118873544,0.21562438,0.15136406,0.46896842,0.24175954,0.78401667,0.92313254,0.93315494,0.97707814,0.97584915,0.9392215,0.98942626,0.94185585,0.9556125,0.9508428,0.9540619
layer_8,0.1029762,0.03542313,0.4605033,0.6793513,0.98257047,0.9209659,0.89688206,0.8922375,0.94635844,0.9487242,0.91225463,0.9512007,0.9517915,0.9508233,0.95008916,0.94547206
layer_9,0.10843662,0.36817136,0.34527534,0.93285114,0.8522723,0.9571462,0.9433184,0.9498345,0.9469019,0.93852025,0.9506327,0.95060366,0.9492428,0.94727504,0.9499934,0.9508283
layer_10,0.48526725,0.43880922,0.9009288,0.9246792,0.8522097,0.92368734,0.83777946,0.9457355,0.9768051,0.94439256,0.94590235,0.94543105,0.9495786,0.9496202,0.94901943,0.947606
layer_11,0.16853774,0.6360035,0.7827521,0.9208862,0.9428974,0.88446856,0.9475154,0.91455835,0.9499945,0.9490773,0.9461219,0.95087576,0.9507496,0.94898903,0.9508104,0.95064867
layer_12,0.2901658,0.40227345,0.96171004,0.8512654,0.8927589,0.9497437,0.95181835,0.8394156,0.94024247,0.9448131,0.948036,0.95064867,0.9508417,0.9508331,0.9509135,0.95262104
layer_13,0.38646585,0.36554477,0.9390577,0.8493449,0.9562094,0.93496865,0.93163544,0.92729425,0.86494637,0.9502301,0.9255486,0.95091856,0.95082825,0.95086294,0.9506093,0.9508428
layer_14,0.27906922,0.8976772,0.95104164,0.9256631,0.95337164,0.9150213,0.92214924,0.9462522,0.96602565,0.9457738,0.9510569,0.95075744,0.9082412,0.94876343,0.95119196,0.9416893
layer_15,0.18394567,0.6712686,0.9577995,0.9633636,0.9392962,0.9534061,0.9241642,0.9557956,0.9442802,0.9531307,0.9063836,0.94693464,0.95287836,0.941207,0.9509593,0.9514591
layer_16,0.111921296,0.37929258,0.95597494,0.96123713,0.95142025,0.9514505,0.9526656,0.9496849,0.93683857,0.9458414,0.95068866,0.95071346,0.95080465,0.95043,0.9508428,0.9536154
layer_17,0.13982774,0.2731113,0.94856817,0.9628998,0.9796042,0.9497687,0.8952376,0.7169723,0.9331148,0.95288444,0.9507974,0.91864604,0.95069015,0.92896223,0.9508496,0.953379
layer_18,0.7408021,0.29283994,0.97015274,0.6529974,0.96513194,0.9690445,0.94332427,0.9220854,0.9536187,0.94875896,0.95034134,0.9457583,0.95057476,0.95047414,0.9427185,0.9491067
layer_19,0.15193595,0.5207266,0.40273756,0.9996048,0.9554794,0.9763729,0.931945,0.9505382,0.9542347,0.96014905,0.9421326,0.95154166,0.948486,0.9508428,0.9505528,0.9524458
layer_20,0.10180158,0.20652917,0.5820024,0.9529157,0.97766596,0.97086656,0.9496526,0.99783254,0.9634737,0.94983244,0.8446342,0.9501677,0.94484186,0.9434522,0.95084506,0.9507389
layer_21,0.058664028,0.14054675,0.86779904,0.88868505,0.9557549,0.93038386,0.9688335,0.9511908,0.93601155,0.9616155,0.9301913,0.94717264,0.94753677,0.95148903,0.6095167,0.9800985
layer_22,0.06511501,0.11626543,0.24860662,0.8739557,0.36418524,0.84150535,0.83412606,0.4540329,0.9319001,0.8130598,0.93939215,0.9442411,0.58098644,0.94911677,0.9384077,0.9867554
layer_23,0.014586597,0.028317472,0.1435378,0.024065407,0.49841326,0.14807655,0.47269788,0.08174158,0.2106742,0.0008981672,0.8677144,0.99600345,0.90961474,0.98683,0.9068655,0.8933212
