,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,13,194,12,1,4,133,1,30,0,0,55,4,3,0,1,1
layer_1,8,8,2,153,9,6,21,31,16,58,35,0,80,5,27,19
layer_2,30,71,84,26,29,0,36,28,35,3,56,27,13,16,17,35
layer_3,62,22,8,75,147,21,103,15,106,306,86,79,32,15,77,44
layer_4,12,58,12,77,17,169,110,12,83,249,120,147,26,23,42,51
layer_5,28,39,111,19,11,5,77,289,65,159,9,8,17,67,140,57
layer_6,126,6,4,20,16,136,68,1,28,88,12,15,20,32,23,58
layer_7,215,38,302,121,41,25,35,270,368,133,227,189,128,33,53,199
layer_8,116,76,0,91,102,2,79,28,78,14,80,40,77,76,0,76
layer_9,39,129,81,83,74,94,44,201,193,189,191,69,358,178,0,104
layer_10,76,76,76,75,75,72,76,76,74,76,115,76,77,76,72,77
layer_11,62,102,93,78,91,106,84,104,115,99,59,88,165,214,49,124
layer_12,64,28,76,76,94,76,76,56,76,81,76,98,113,76,83,76
layer_13,55,135,83,145,138,73,76,116,65,68,130,94,239,90,139,65
layer_14,72,73,86,76,72,76,76,76,83,76,76,83,76,76,76,98
layer_15,76,75,48,126,93,70,78,81,78,246,84,88,53,84,73,13
layer_16,76,72,75,81,71,74,76,76,76,83,76,57,76,73,76,75
layer_17,79,271,75,75,76,47,5,64,77,78,68,242,93,82,100,74
layer_18,76,82,65,66,80,75,76,77,74,92,74,77,73,78,76,77
layer_19,76,97,73,72,66,74,72,50,244,76,65,64,72,177,71,60
layer_20,76,59,73,69,77,76,76,76,76,76,67,71,53,76,77,75
layer_21,86,69,72,64,100,69,69,69,72,85,118,242,71,184,77,183
layer_22,73,75,82,60,73,76,74,68,76,75,73,56,75,84,105,69
layer_23,127,47,69,63,51,57,68,62,0,183,11,55,67,2,106,29
