,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,47,47,97,20,51,56,87,36,56,129,32,40,55,43,100,37
layer_1,93,93,36,113,56,94,10,89,114,11,83,139,74,72,39,86
layer_2,129,30,36,138,35,38,87,83,24,61,91,53,101,113,129,131
layer_3,30,30,29,29,29,73,29,29,29,29,29,30,29,29,29,29
layer_4,29,29,29,29,29,14,29,106,32,29,29,66,29,29,35,16
layer_5,146,29,36,29,29,62,29,29,30,29,31,28,29,28,29,36
layer_6,25,64,29,31,29,29,29,29,29,29,29,29,24,29,29,29
layer_7,29,84,29,29,29,29,29,28,29,29,29,58,29,38,29,29
layer_8,29,29,20,29,29,29,29,29,29,29,29,29,34,29,29,29
layer_9,29,30,29,29,21,28,29,29,29,38,29,29,29,29,29,29
layer_10,29,28,29,29,33,29,29,29,29,29,29,44,29,28,29,35
layer_11,29,29,30,29,48,33,23,29,30,29,13,146,28,29,39,29
layer_12,29,29,29,29,29,29,29,31,29,29,29,28,41,28,44,29
layer_13,35,29,29,29,29,13,29,29,27,29,29,29,34,29,30,29
layer_14,29,24,29,29,29,29,29,29,24,81,29,29,30,29,29,29
layer_15,29,33,29,21,29,29,29,29,29,29,29,29,29,73,40,29
layer_16,29,28,29,29,29,31,29,29,29,29,29,28,29,29,29,29
layer_17,26,29,30,29,29,29,29,29,29,29,29,30,29,29,29,29
layer_18,26,30,29,29,28,29,29,29,33,43,29,46,29,29,29,29
layer_19,25,29,32,29,38,29,29,29,29,27,29,37,29,29,29,30
layer_20,29,29,29,34,29,28,29,29,29,30,29,42,29,29,58,29
layer_21,28,28,29,29,29,29,29,29,29,29,26,27,34,29,29,29
layer_22,28,25,28,29,29,29,29,29,29,29,29,29,29,29,29,29
layer_23,28,29,29,29,29,36,29,29,29,29,29,29,29,29,29,29
layer_24,29,29,29,29,37,29,29,31,32,29,29,29,33,32,29,29
layer_25,29,33,29,31,30,29,39,29,30,29,29,29,31,31,29,29
layer_26,29,29,29,28,30,29,29,30,29,29,30,29,31,29,29,28
layer_27,23,29,18,41,29,29,29,28,29,29,29,29,29,29,29,28
