,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,94,0,65,0,26,4,85,65,22,112,77,114
layer_1,79,95,92,106,109,71,104,106,110,104,92,50
layer_2,108,97,91,89,103,105,64,88,93,92,100,106
layer_3,106,104,91,101,106,106,80,96,84,104,106,107
layer_4,110,119,106,116,106,110,108,25,103,108,106,100
layer_5,112,106,122,103,119,109,115,106,109,106,106,106
layer_6,110,106,106,106,98,109,106,108,113,111,105,106
layer_7,116,106,106,106,106,106,106,107,116,106,107,106
layer_8,107,107,107,106,106,106,109,106,106,106,106,106
layer_9,107,106,106,108,106,106,106,106,87,106,106,106
layer_10,106,106,106,106,106,107,106,106,106,113,106,108
layer_11,107,106,106,105,106,101,107,106,31,106,106,106
