,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,140.0,99.0,203.0,286.0,91.0,64.0,121.0,99.0,294.0,51.0,326.0,336.0
layer_1,52.0,73.0,69.0,10.0,40.0,23.0,1.0,39.0,0.0,3.0,24.0,7.0
layer_2,333.0,66.0,2.0,1.0,21.0,2.0,33.0,32.0,16.0,333.0,71.0,23.0
layer_3,2.0,8.0,17.0,114.0,85.0,276.0,1.0,0.0,18.0,161.0,21.0,93.0
layer_4,63.0,22.0,0.0,0.0,50.0,86.0,15.0,82.0,6.0,1.0,24.0,90.0
layer_5,123.0,21.0,1.0,1.0,0.0,2.0,10.0,4.0,1.0,321.0,174.0,0.0
layer_6,0.0,5.0,2.0,6.0,72.0,8.0,68.0,2.0,0.0,189.0,11.0,312.0
layer_7,9.0,4.0,139.0,0.0,327.0,135.0,0.0,1.0,43.0,61.0,206.0,7.0
layer_8,0.0,0.0,17.0,1.0,0.0,1.0,2.0,9.0,1.0,101.0,41.0,12.0
layer_9,7.0,8.0,18.0,4.0,2.0,26.0,0.0,81.0,83.0,7.0,1.0,0.0
layer_10,23.0,4.0,89.0,2.0,7.0,3.0,9.0,3.0,30.0,6.0,72.0,4.0
layer_11,3.0,2.0,11.0,1.0,5.0,31.0,2.0,3.0,88.0,7.0,2.0,2.0
