,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,74.81667,47.40364,47.4513,79.0028,60.620075,50.15714,57.104954,56.360443,100.494865,51.325443,117.94017,91.90969
layer_1,36.03553,41.12423,47.192818,24.586031,8.7649555,52.95611,5.3598037,41.189873,23.016054,22.5059,24.047281,14.753428
layer_2,114.03719,25.0155,14.609999,26.696777,43.581814,27.027063,8.224788,51.96038,10.646566,114.07186,38.412716,33.133316
layer_3,2.8331943,21.64382,28.352062,80.66169,65.69787,41.600677,14.57313,13.736885,26.332054,38.247166,26.958097,50.684093
layer_4,50.469135,51.62288,6.591839,1.2824181,44.633152,77.17103,39.097538,14.16436,41.570347,41.83862,28.109758,45.422703
layer_5,90.256454,8.980875,9.513057,9.616462,38.585316,7.029317,10.429665,3.629582,27.266521,88.69276,52.463444,21.462908
layer_6,1.5980452,7.209037,23.787756,10.559344,30.123993,24.46003,34.16939,17.78703,8.940728,105.09263,17.047981,74.884384
layer_7,46.104004,16.204454,52.77357,3.4643373,85.57113,64.0328,6.4953575,11.701158,25.259363,61.86666,114.6488,12.599712
layer_8,13.615548,23.29762,11.055978,28.758154,5.825281,21.860334,17.732843,38.093906,17.522583,56.56568,13.961572,12.017184
layer_9,16.56533,11.954424,33.42915,15.395015,5.397947,23.201939,9.845797,67.328354,44.72606,26.657438,11.316038,14.824038
layer_10,28.855038,12.769358,72.52529,20.778612,12.75518,7.075041,7.999637,3.6355217,25.139605,13.284879,36.7726,19.44116
layer_11,1.2476676,8.910443,38.278847,5.1280355,9.355295,38.41042,6.7495117,11.978008,48.272854,35.080513,7.0700684,2.23318
