,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,25.543879,21.754147,31.846899,10.581874,24.728739,17.8641,16.927965,31.756779,26.02221,22.270197,34.161053,8.040964
layer_1,24.036003,29.572536,43.410133,19.7757,32.174294,25.27328,17.163538,19.409496,25.826607,17.43336,31.438139,15.569488
layer_2,13.992104,16.717216,54.94257,11.262827,20.290022,9.875335,13.8775215,23.653908,14.726328,12.266425,11.516787,15.9606085
layer_3,48.351246,15.170315,20.094086,19.900675,15.350258,5.401313,19.21009,17.347563,18.787617,21.07007,15.006086,23.777567
layer_4,34.88601,51.916794,24.552397,62.74492,16.577034,12.780999,11.603866,34.925484,33.686455,25.209223,26.93674,26.105835
layer_5,1.6538429,13.75689,4.048599,14.581062,13.017856,3.983477,6.541012,15.204362,13.178133,4.85889,19.953566,22.451904
layer_6,2.7512593,25.204082,5.091828,19.601667,12.609664,3.3007636,10.762791,8.583578,24.223639,44.20554,23.941124,8.43734
layer_7,7.5407853,22.66217,8.650681,11.705118,10.634843,18.53859,27.218184,3.6448674,6.8312798,11.891198,12.038868,16.417253
layer_8,2.9276044,25.957882,4.513592,5.778516,36.726906,15.13009,15.761037,8.865306,37.24809,10.724722,17.115168,10.003548
layer_9,6.5846825,27.132225,2.7745693,25.741169,9.43157,40.463875,28.95519,5.9322767,29.406557,9.397685,5.513962,13.236739
layer_10,7.991969,12.662999,58.04753,34.03407,15.497736,19.86898,29.66652,17.369432,28.242233,44.682842,31.874954,29.256985
layer_11,38.64626,14.255163,29.57535,61.950016,51.098866,30.546574,20.96603,12.943149,70.35697,13.973942,46.079628,92.91446
