,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,1.1145604,1.1899928,0.6940696,0.21254902,1.9953066,1.8657908,0.293706,0.7040374,0.029349972,1.3317521,1.6494592,1.888021
layer_1,0.54774964,0.51502234,0.31210527,1.0228012,0.69694096,0.16212684,0.6600793,0.70781255,1.2840906,0.3345007,0.52525246,0.52287316
layer_2,0.47713524,0.020914936,0.40456134,0.218566,0.12659344,0.6441802,0.7841647,0.15778118,0.6589871,0.3306777,0.5229745,0.21398805
layer_3,0.250372,0.3590661,0.24730314,0.63692003,0.32039097,0.30427185,0.3152317,0.09820691,0.17982385,0.1869126,0.6198967,0.31809548
layer_4,0.34015805,0.45845738,0.3865647,0.5426307,0.22075477,0.36393347,0.544855,0.21231474,0.035365477,0.21646073,0.29258692,0.09428333
layer_5,0.40429845,0.11519014,0.07330271,0.6380079,1.1275964,0.15567562,0.10985708,0.3032034,0.39697254,0.101772256,0.47959965,0.6084314
layer_6,0.09772822,0.39624625,0.087514296,0.43445367,0.48938853,0.40465766,0.4062668,0.11303669,0.33545193,0.10730398,0.37686947,0.24583344
layer_7,0.05377827,0.17425734,0.36024556,0.30030394,0.32784766,0.04190774,0.29647732,0.2395058,0.7781705,0.35074303,0.5827134,0.21329993
layer_8,0.21620773,0.26999068,1.1887666,0.21210895,0.030883376,0.05804512,0.2569579,0.29311916,0.20575285,0.40016878,0.09827396,0.7771738
layer_9,0.20965195,0.2264691,0.11924518,0.19410896,0.293877,0.23093858,0.43069223,0.25436375,0.23305328,0.06544012,0.18851192,0.2811151
layer_10,0.19698745,0.26572978,0.12749231,0.39297795,0.258478,0.3111442,0.24905191,0.9050132,0.21331659,0.423316,0.09301246,0.47412246
layer_11,0.08559188,0.20436628,0.13515344,0.23817812,1.2072057,0.2002226,0.18198638,0.09788808,0.24282986,0.23371066,0.4555842,0.13393754
