,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,0.5591772,0.45338264,0.5977973,0.65514046,0.42152917,0.49180052,0.7560674,0.66665924,0.33451515,0.31718174,0.55706626,0.37240925
layer_1,0.038748793,0.038286123,0.49317342,0.06497053,0.5233827,0.4016825,0.19320726,0.10373217,0.0079948045,0.00028837845,0.009529344,0.0
layer_2,0.015804464,0.35815328,0.1671046,0.4194415,0.06456586,0.19190158,0.040151987,0.5588572,0.00092046015,0.0017169395,0.08370668,0.8036224
layer_3,0.0132445535,0.21810699,0.0013111419,0.70077395,0.20118001,0.047950562,0.023266241,0.13450368,0.4350107,0.08300231,0.66507095,0.18153256
layer_4,0.00019234733,0.03703849,0.17953587,0.35834625,0.50559527,0.017959006,0.023971882,0.07235531,0.04636351,0.16202337,0.6362125,0.015222923
layer_5,0.04251296,0.023276309,0.02005966,0.20249288,0.051451456,0.03350787,0.2863419,0.24773206,0.8123258,0.020186888,0.4005633,0.0005293646
layer_6,0.04146138,0.001226226,0.0032701723,0.48793682,0.0888358,0.057677094,0.12643021,0.5996809,0.20262784,1.0,0.36455685,0.121818334
layer_7,0.0,0.01919721,0.08007841,0.32097787,0.0077939117,0.081821434,0.005472866,0.009423513,0.07285244,0.069284685,0.18511204,0.35622618
layer_8,0.0165448,0.075394765,0.025358574,0.29797265,0.3013513,0.007021848,0.21365272,0.0,0.022375103,0.03420569,0.006769105,0.0028947894
layer_9,0.0021371979,0.0027594003,0.036575906,0.032730006,0.08558985,0.03703011,0.0046949675,0.039555036,0.013326882,0.048502672,0.23253441,0.00042338014
layer_10,0.1543378,0.014830229,0.009319331,0.10395118,0.004062327,0.020243587,0.008831023,0.010942492,0.18793386,0.017722355,0.005335552,0.011899507
layer_11,0.018129114,0.15048352,0.017265342,0.12736379,0.029293774,0.0039152345,0.0020642895,0.039886143,0.09759054,0.006587107,0.13783945,0.38129684
