,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,16,48,30,63,80,72,143,93,85,60,26,144,48,79,79,78
layer_1,15,15,19,11,18,28,11,88,35,39,40,26,36,54,26,28
layer_2,18,32,29,20,20,7,7,109,36,11,18,18,15,21,21,24
layer_3,22,13,81,9,43,41,11,76,39,11,19,10,30,49,16,9
layer_4,14,100,89,43,49,88,144,30,26,8,45,16,26,22,26,38
layer_5,39,82,96,50,51,50,38,38,62,48,41,39,37,37,37,35
layer_6,49,53,69,80,55,49,116,67,37,38,37,38,38,37,37,36
layer_7,14,69,56,57,59,49,92,63,50,45,49,39,37,37,37,35
layer_8,26,82,67,81,44,43,39,40,46,40,31,37,37,37,37,37
layer_9,37,28,51,44,45,40,60,37,39,37,37,37,36,38,37,37
layer_10,71,39,43,69,77,46,70,37,37,38,37,38,37,37,37,37
layer_11,37,46,27,59,44,48,36,39,37,37,37,38,37,37,37,37
layer_12,57,41,47,71,46,43,44,43,37,36,37,37,37,37,37,37
layer_13,39,35,59,58,39,48,37,40,43,38,37,37,37,37,37,37
layer_14,91,30,40,37,37,43,38,37,38,37,37,37,36,37,37,37
layer_15,55,28,41,46,34,37,69,37,39,37,34,37,37,37,37,37
layer_16,41,26,38,47,40,37,37,37,37,37,38,37,37,37,37,37
layer_17,32,53,69,66,31,39,46,35,37,37,37,37,38,37,37,37
layer_18,38,59,84,37,37,41,36,40,37,37,37,36,37,37,39,37
layer_19,58,87,51,57,38,35,75,38,35,37,37,37,36,37,37,38
layer_20,73,102,29,39,41,43,34,59,40,37,25,37,37,37,37,37
layer_21,105,15,50,131,39,97,73,38,39,37,37,37,37,37,99,35
layer_22,94,93,158,37,63,102,51,119,38,34,37,37,13,37,37,47
layer_23,99,138,32,132,49,133,39,68,55,62,34,50,34,54,41,69
