,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,3,32,2,0,0,17,0,43,0,0,13,0,3,3,0,1
layer_1,13,35,23,29,34,4,30,41,29,27,29,1,39,26,33,36
layer_2,29,28,32,19,25,0,27,29,27,17,32,23,23,23,28,32
layer_3,43,30,27,28,25,28,29,19,28,33,25,34,29,18,33,25
layer_4,26,22,24,42,25,50,52,55,33,41,30,36,24,37,54,59
layer_5,20,31,17,30,27,12,21,31,15,27,44,7,28,40,47,4
layer_6,45,4,0,4,9,38,10,1,29,29,24,3,1,48,3,35
layer_7,45,29,15,62,10,40,52,41,29,37,42,40,38,55,38,42
layer_8,26,38,1,28,43,0,32,7,28,1,26,24,29,25,0,28
layer_9,16,47,55,29,31,33,79,46,31,34,35,43,40,61,0,22
layer_10,28,31,28,29,24,26,28,32,22,28,37,28,28,27,41,27
layer_11,26,32,31,29,72,34,29,31,27,37,52,38,28,36,85,43
layer_12,26,6,30,28,24,28,28,23,29,28,28,32,27,23,28,28
layer_13,30,27,37,63,24,31,28,34,31,28,23,27,31,27,86,39
layer_14,28,27,25,28,28,32,29,28,27,28,31,30,28,28,27,30
layer_15,27,27,31,24,32,26,30,26,27,55,30,42,19,37,30,1
layer_16,28,20,28,29,28,28,29,29,28,28,28,20,28,27,28,28
layer_17,33,29,28,28,31,26,2,26,28,33,25,59,24,28,75,29
layer_18,27,29,27,29,27,30,27,28,28,28,21,28,28,27,27,29
layer_19,25,29,28,26,23,21,26,18,27,28,29,27,28,28,28,26
layer_20,28,33,29,26,28,28,28,28,28,28,28,28,21,28,28,28
layer_21,27,25,27,24,29,25,24,28,28,29,28,28,23,64,28,24
layer_22,28,27,6,26,26,28,25,28,28,27,28,7,23,27,14,26
layer_23,5,5,23,26,12,2,9,26,0,9,4,8,4,0,19,14
