,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,210.0,1.0,203.0,3.0,20.0,3.0,228.0,216.0,185.0,223.0,141.0,185.0
layer_1,213.0,212.0,231.0,151.0,189.0,174.0,172.0,206.0,160.0,152.0,177.0,3.0
layer_2,190.0,151.0,178.0,196.0,195.0,201.0,157.0,170.0,184.0,297.0,238.0,152.0
layer_3,153.0,156.0,149.0,150.0,152.0,152.0,216.0,271.0,181.0,163.0,152.0,193.0
layer_4,161.0,175.0,152.0,236.0,153.0,165.0,165.0,78.0,156.0,152.0,152.0,158.0
layer_5,159.0,157.0,193.0,161.0,157.0,162.0,165.0,157.0,157.0,152.0,154.0,152.0
layer_6,221.0,155.0,152.0,152.0,194.0,152.0,152.0,153.0,199.0,154.0,152.0,154.0
layer_7,255.0,153.0,152.0,152.0,165.0,153.0,152.0,155.0,154.0,152.0,154.0,153.0
layer_8,152.0,152.0,152.0,152.0,152.0,153.0,171.0,153.0,153.0,152.0,152.0,155.0
layer_9,153.0,152.0,153.0,182.0,152.0,152.0,152.0,152.0,192.0,152.0,152.0,152.0
layer_10,152.0,152.0,152.0,152.0,155.0,155.0,152.0,152.0,153.0,160.0,152.0,155.0
layer_11,159.0,152.0,152.0,164.0,152.0,153.0,152.0,153.0,217.0,152.0,155.0,152.0
