,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,341,213,228,215,81,199,101,45,10,126,100,81,163,187,8,135
layer_1,87,183,278,297,294,236,275,149,247,214,168,215,187,139,214,188
layer_2,80,189,293,266,214,232,284,109,223,153,229,183,210,201,215,222
layer_3,348,119,292,302,245,140,210,116,182,213,205,168,220,118,181,164
layer_4,284,238,25,276,216,245,106,114,171,214,169,198,211,226,190,80
layer_5,243,87,220,108,107,103,102,103,113,102,102,101,101,101,101,114
layer_6,365,283,179,125,93,104,131,116,112,102,101,102,101,101,101,102
layer_7,277,258,82,269,63,287,132,102,106,100,101,96,99,101,101,100
layer_8,319,28,260,152,92,115,106,104,104,101,149,101,101,101,101,101
layer_9,358,344,40,127,126,130,103,104,101,101,101,101,101,101,101,101
layer_10,216,292,109,187,141,110,115,107,101,102,101,101,101,101,101,101
layer_11,170,168,204,180,101,117,102,101,101,100,101,101,101,101,101,101
layer_12,317,263,118,176,114,112,102,172,101,101,101,101,101,101,101,101
layer_13,193,352,116,171,102,104,101,103,109,103,101,101,101,101,101,101
layer_14,66,286,126,139,116,137,102,101,101,102,101,101,113,101,101,103
layer_15,100,356,144,138,116,101,137,101,101,101,123,102,101,103,101,100
layer_16,339,197,101,127,105,144,102,101,101,101,101,101,101,102,101,101
layer_17,20,174,131,86,113,100,139,197,102,101,100,120,101,104,101,100
layer_18,180,112,113,137,132,106,107,110,102,101,101,110,101,101,105,101
layer_19,32,113,176,103,102,149,152,104,113,98,104,102,102,101,100,106
layer_20,25,74,139,99,105,94,104,92,99,101,187,101,114,117,101,101
layer_21,12,209,37,83,106,55,74,103,101,102,106,101,102,101,91,119
layer_22,5,12,13,50,69,63,65,39,119,149,105,104,170,101,108,75
layer_23,0,0,78,2,26,4,44,3,1,0,136,109,120,111,106,106
