,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,26,106,208,319,133,201,567,209,147,231,185,144
layer_1,8,32,470,14,295,195,60,136,1,0,1,0
layer_2,16,69,100,113,3,45,23,415,0,1,22,296
layer_3,1,127,0,202,140,37,14,139,53,1,347,37
layer_4,0,1,98,187,102,1,3,62,24,120,360,1
layer_5,16,3,1,40,18,12,51,79,149,0,436,1
layer_6,16,0,0,56,15,10,5,380,100,529,138,59
layer_7,0,6,31,47,0,7,2,2,23,2,63,94
layer_8,0,39,26,101,133,0,15,0,2,0,6,2
layer_9,1,0,1,7,5,1,0,4,2,18,133,0
layer_10,133,2,6,67,1,0,1,0,32,2,2,7
layer_11,11,0,0,0,19,2,0,47,0,4,0,0
