,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,30,1,34,0,0,3,31,19,33,33,20,28
layer_1,21,21,22,26,27,26,25,29,26,25,16,1
layer_2,67,26,18,29,18,27,29,10,19,10,17,26
layer_3,27,27,41,9,26,26,12,18,44,26,26,27
layer_4,23,35,26,20,26,26,27,1,28,26,26,20
layer_5,27,27,25,26,33,27,26,26,26,26,26,26
layer_6,33,26,26,26,29,26,26,26,18,26,26,26
layer_7,43,26,26,26,26,26,26,27,26,26,26,26
layer_8,26,26,26,26,26,26,30,27,26,26,26,26
layer_9,26,26,26,24,26,26,26,26,24,26,26,26
layer_10,26,26,26,26,26,26,26,27,26,26,26,26
layer_11,30,26,26,26,26,26,26,26,30,26,26,26
