,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,37.0,54.0,26.0,31.0,26.0,32.0,41.0,51.0,34.0,26.0,46.0,32.0,25.0,56.0,42.0,29.0
layer_1,56.0,31.0,29.0,65.0,72.0,23.0,21.0,27.0,46.0,32.0,46.0,41.0,64.0,34.0,21.0,33.0
layer_2,23.0,32.0,26.0,110.0,44.0,63.0,36.0,55.0,30.0,25.0,43.0,56.0,47.0,59.0,26.0,37.0
layer_3,26.0,27.0,26.0,29.0,29.0,50.0,25.0,26.0,26.0,26.0,26.0,32.0,30.0,31.0,26.0,27.0
layer_4,25.0,26.0,26.0,44.0,26.0,30.0,25.0,30.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0
layer_5,41.0,27.0,31.0,26.0,29.0,63.0,26.0,26.0,26.0,37.0,26.0,26.0,28.0,26.0,26.0,27.0
layer_6,25.0,26.0,27.0,25.0,50.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,26.0,26.0,26.0,26.0
layer_7,26.0,50.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,26.0,27.0,26.0,31.0,26.0,26.0
layer_8,25.0,26.0,27.0,26.0,26.0,26.0,30.0,26.0,27.0,26.0,26.0,26.0,31.0,26.0,27.0,26.0
layer_9,27.0,26.0,30.0,26.0,26.0,25.0,26.0,27.0,26.0,28.0,25.0,26.0,26.0,26.0,26.0,26.0
layer_10,26.0,26.0,26.0,24.0,29.0,26.0,26.0,26.0,26.0,26.0,26.0,30.0,26.0,26.0,26.0,26.0
layer_11,26.0,27.0,33.0,26.0,37.0,32.0,26.0,26.0,26.0,26.0,26.0,30.0,28.0,27.0,28.0,27.0
layer_12,26.0,26.0,26.0,26.0,26.0,26.0,26.0,28.0,26.0,26.0,26.0,26.0,34.0,25.0,26.0,26.0
layer_13,29.0,26.0,26.0,26.0,26.0,27.0,27.0,26.0,26.0,26.0,26.0,26.0,29.0,26.0,26.0,26.0
layer_14,25.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,26.0,40.0,26.0,26.0,26.0,25.0,26.0,26.0
layer_15,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,26.0,26.0,29.0,29.0,26.0
layer_16,26.0,25.0,26.0,25.0,26.0,26.0,26.0,26.0,26.0,27.0,26.0,26.0,26.0,26.0,25.0,26.0
layer_17,25.0,26.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,25.0,26.0,26.0,26.0,26.0
layer_18,27.0,26.0,26.0,25.0,26.0,26.0,26.0,26.0,25.0,29.0,26.0,36.0,26.0,26.0,26.0,26.0
layer_19,26.0,26.0,29.0,26.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
layer_20,25.0,26.0,27.0,29.0,26.0,27.0,26.0,26.0,25.0,26.0,26.0,24.0,26.0,26.0,41.0,26.0
layer_21,26.0,26.0,26.0,26.0,26.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,31.0,26.0,26.0,26.0
layer_22,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
layer_23,26.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
layer_24,26.0,26.0,26.0,26.0,25.0,26.0,27.0,27.0,26.0,26.0,27.0,25.0,28.0,26.0,26.0,26.0
layer_25,26.0,26.0,26.0,26.0,27.0,26.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,27.0,26.0,26.0
layer_26,26.0,26.0,26.0,26.0,26.0,26.0,25.0,26.0,26.0,26.0,27.0,26.0,26.0,25.0,26.0,27.0
layer_27,26.0,26.0,26.0,37.0,26.0,27.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
