,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,592.72046,362.9027,718.11,181.68454,456.85416,311.33612,333.26138,392.38892,329.31882,346.7013,404.25333,163.98969
layer_1,214.68828,406.1491,601.0917,173.93124,297.1133,447.5693,359.4695,229.60193,332.38882,496.419,443.8223,252.08908
layer_2,132.76837,185.01146,644.9665,276.26764,239.84488,252.56105,163.82053,201.08052,152.55003,243.68208,145.45251,116.13016
layer_3,552.82166,169.5504,268.37286,185.04599,381.40393,79.76306,194.37413,287.25507,185.11691,176.56914,144.93153,307.12817
layer_4,362.70828,489.9032,313.2909,615.123,457.523,360.59976,406.32825,262.1159,485.12338,228.896,587.4966,277.6238
layer_5,16.928308,225.28938,103.04098,133.03888,351.68607,52.69086,204.13564,120.77854,211.4489,173.59901,688.5442,390.102
layer_6,100.21654,589.2841,359.72934,821.0606,490.58386,63.96869,44.843964,253.68338,474.33075,345.7772,204.35278,322.61285
layer_7,596.0998,363.71902,360.65176,619.3925,488.05963,492.9192,290.76593,49.459385,151.24599,362.42505,72.7612,313.09476
layer_8,63.28674,478.27246,208.00006,194.98514,888.4313,507.1294,222.8615,455.31155,940.19586,477.69507,797.33954,827.34436
layer_9,200.25618,895.17017,112.64146,233.73006,459.98492,805.55383,437.28177,476.5436,726.2488,339.0183,96.91349,714.04785
layer_10,652.50507,364.975,927.56696,543.3181,493.60565,204.72884,443.60437,463.21436,344.04684,659.019,293.1881,875.2705
layer_11,627.66425,204.98438,394.6259,213.92009,542.8474,526.4582,506.9076,131.2925,991.62274,108.718124,914.4004,794.09564
