,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,147,42,508,9,0,0,1,2,0,0,4,34,1,0,0,0,114,2,0,0,278,159,0,174,0,224,2,0,24,0,0,0
layer_1,1,26,0,21,18,4,1,0,19,0,0,62,11,1,0,0,11,0,1,1,7,0,0,0,1,0,4,3,2,0,1,0
layer_2,5,1,1,0,0,0,0,1,1,7,3,3,188,0,0,0,1,0,3,0,1,0,1,0,47,15,8,24,4,0,40,114
layer_3,0,2,77,38,1,28,1,8,7,0,34,7,6,13,4,86,39,31,23,0,0,0,12,0,72,3,7,0,279,14,111,232
layer_4,0,8,4,0,180,0,6,157,27,5,2,0,38,74,103,13,0,72,13,0,0,0,0,106,253,64,0,70,1,0,0,101
layer_5,0,3,97,23,15,0,2,0,4,0,1,0,107,72,81,185,97,77,38,0,47,0,4,1,6,46,0,6,0,116,45,77
layer_6,243,37,31,228,5,13,39,7,0,0,0,0,2,0,9,110,0,42,6,78,12,5,92,0,116,27,0,0,11,202,9,137
layer_7,51,16,4,0,281,6,4,0,9,0,0,0,0,1,38,26,175,103,0,6,0,46,0,3,2,2,3,3,1,0,0,173
layer_8,3,5,26,3,12,7,16,37,24,113,3,181,93,130,17,28,0,1,0,0,0,0,38,37,6,357,253,1,0,266,0,2
layer_9,26,0,6,18,118,155,11,31,2,1,0,56,0,185,203,70,12,0,17,17,29,1,0,45,0,2,111,0,39,77,96,22
layer_10,0,0,0,7,1,29,0,23,54,23,20,1,8,0,0,5,18,0,98,0,0,16,1,0,0,9,0,0,17,39,2,4
layer_11,0,0,0,1,0,0,0,0,5,44,0,12,0,0,1,0,19,53,2,17,1,0,0,5,1,8,3,2,28,0,19,21
layer_12,0,0,2,48,2,0,0,196,41,34,1,8,0,0,0,0,0,6,0,21,0,80,4,59,0,1,14,7,0,0,2,0
layer_13,0,0,0,0,246,5,0,0,1,35,2,32,0,0,6,17,1,0,0,0,0,0,0,0,12,0,1,1,4,0,25,3
layer_14,0,1,0,0,1,85,19,0,0,0,0,0,0,1,0,0,0,16,96,70,0,0,0,2,21,17,8,15,0,0,0,0
layer_15,33,14,0,6,0,0,16,0,29,0,1,1,2,1,54,1,0,0,0,0,0,0,0,0,75,0,57,0,0,0,0,0
