,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31
layer_0,19,1,357,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,30,51,0,6,0,235,0,0,0,0,0,0
layer_1,0,69,0,6,1,4,0,0,0,0,0,0,3,0,0,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0
layer_2,16,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,0,16,34
layer_3,0,0,15,5,0,9,0,0,0,0,61,0,0,1,0,4,3,14,0,0,0,0,0,0,6,0,26,0,22,0,1,8
layer_4,0,2,0,0,26,0,2,12,0,2,0,0,13,1,3,4,1,7,0,0,0,0,0,1,119,0,0,10,0,0,0,20
layer_5,0,0,91,11,0,0,0,0,0,0,0,0,7,37,5,11,28,7,6,0,34,0,0,0,0,48,0,1,0,13,1,2
layer_6,115,10,9,162,0,0,0,1,0,0,0,0,0,0,0,11,0,17,1,2,0,1,8,0,5,0,0,0,0,10,0,8
layer_7,28,1,0,0,30,0,0,0,0,0,0,0,0,0,2,4,47,48,0,0,0,0,0,0,0,0,0,0,0,0,0,54
layer_8,0,0,2,0,0,0,3,3,0,13,0,83,9,8,3,3,0,0,0,0,0,0,1,0,0,132,221,2,0,44,0,0
layer_9,1,0,1,1,42,44,2,9,0,0,0,19,0,53,32,2,0,0,0,0,20,0,0,2,0,0,11,0,21,3,69,2
layer_10,0,0,0,0,0,0,0,0,29,5,4,1,0,0,0,0,7,0,10,0,0,1,0,0,0,0,0,0,22,10,0,0
layer_11,0,0,0,0,0,0,0,0,10,16,0,15,0,0,0,0,4,13,0,1,0,0,0,0,0,0,0,1,3,0,25,3
layer_12,0,0,0,3,0,0,0,47,8,18,1,4,0,0,0,0,0,0,0,14,0,18,1,27,0,0,12,0,0,0,0,0
layer_13,0,0,0,0,37,0,0,0,0,10,0,16,0,0,0,6,0,0,0,0,0,0,0,0,15,0,2,1,3,0,15,0
layer_14,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,4,32,17,0,0,0,0,1,10,0,3,0,0,0,0
layer_15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0
