,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15
layer_0,41,35,25,23,27,24,30,20,16,17,18,21,19,17,29,19
layer_1,45,46,23,17,18,14,18,33,15,11,13,19,12,21,13,20
layer_2,37,32,25,16,38,13,20,10,14,16,18,11,14,14,12,15
layer_3,35,37,51,12,15,15,12,12,23,18,17,19,21,14,18,10
layer_4,43,19,23,12,22,17,64,14,12,11,10,15,13,11,25,35
layer_5,37,25,17,16,19,12,24,15,20,15,16,15,15,15,15,16
layer_6,30,38,19,14,15,16,29,12,16,15,15,15,15,15,15,15
layer_7,41,22,55,25,14,34,16,16,19,15,15,15,15,15,15,15
layer_8,41,25,19,20,14,15,15,13,14,15,15,15,15,15,15,15
layer_9,43,20,12,17,26,16,15,15,15,15,15,15,15,15,15,15
layer_10,15,46,13,15,19,18,11,15,15,17,15,15,15,15,15,15
layer_11,25,18,13,29,14,18,15,18,15,15,15,15,15,15,15,15
layer_12,26,28,19,17,16,22,14,17,15,14,15,15,15,15,15,15
layer_13,21,35,14,24,15,16,15,13,15,15,15,15,15,15,15,15
layer_14,15,16,17,25,16,16,15,15,15,14,15,15,15,15,15,15
layer_15,43,31,15,22,19,15,17,15,15,15,15,15,15,15,15,15
layer_16,39,18,15,15,14,16,15,15,16,15,15,15,15,15,15,15
layer_17,37,18,29,18,15,15,14,19,15,15,15,15,15,15,15,15
layer_18,22,26,23,18,18,16,15,15,15,15,15,15,15,15,16,15
layer_19,19,20,38,15,15,16,25,15,15,15,15,15,15,15,15,15
layer_20,43,37,31,15,15,13,18,15,15,15,14,15,15,15,15,15
layer_21,34,40,16,18,14,20,15,15,15,15,15,15,15,15,20,15
layer_22,48,15,41,15,33,20,15,24,15,14,15,15,20,15,15,17
layer_23,37,38,18,38,14,32,17,19,16,22,13,12,14,14,16,16
