,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,52,4,117,6,24,1,17,164,48,1,64,0
layer_1,10,26,30,0,102,32,2,0,9,26,28,2
layer_2,1,0,266,1,12,26,0,13,27,27,0,1
layer_3,194,1,12,65,1,0,2,0,3,106,4,0
layer_4,26,106,4,248,23,4,23,15,17,22,44,27
layer_5,0,0,0,2,0,0,0,0,3,0,73,19
layer_6,1,28,0,48,8,0,0,0,0,249,27,4
layer_7,14,41,0,147,16,12,6,0,0,0,0,0
layer_8,0,8,1,0,158,20,0,4,184,0,1,75
layer_9,0,24,0,0,0,20,7,3,117,1,1,91
layer_10,20,2,226,55,23,96,3,5,30,62,52,135
layer_11,77,94,82,35,33,18,49,1,48,3,156,256
