,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11
layer_0,56.0,4.0,122.0,6.0,25.0,1.0,18.0,218.0,57.0,1.0,68.0,0.0
layer_1,10.0,29.0,30.0,0.0,120.0,32.0,2.0,0.0,9.0,26.0,53.0,2.0
layer_2,1.0,0.0,285.0,1.0,12.0,26.0,0.0,13.0,27.0,27.0,0.0,1.0
layer_3,198.0,1.0,12.0,70.0,1.0,0.0,2.0,0.0,3.0,117.0,4.0,0.0
layer_4,26.0,129.0,4.0,249.0,23.0,4.0,23.0,17.0,17.0,22.0,45.0,33.0
layer_5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,73.0,19.0
layer_6,1.0,28.0,0.0,48.0,8.0,0.0,0.0,0.0,0.0,259.0,27.0,4.0
layer_7,14.0,41.0,0.0,147.0,16.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0
layer_8,0.0,8.0,1.0,0.0,158.0,20.0,0.0,4.0,184.0,0.0,1.0,75.0
layer_9,0.0,24.0,0.0,0.0,0.0,20.0,7.0,3.0,120.0,1.0,1.0,91.0
layer_10,20.0,2.0,236.0,56.0,23.0,129.0,3.0,5.0,30.0,62.0,52.0,135.0
layer_11,77.0,151.0,169.0,35.0,35.0,18.0,51.0,1.0,50.0,3.0,158.0,284.0
